Date,Close,High,Low,Open,Volume
2015-11-26,10840.0,11040.0,10740.0,10990.0,2465300
2015-11-27,10690.0,10890.0,10640.0,10890.0,1031890
2015-11-30,10240.0,10540.0,10090.0,10540.0,1245420
2015-12-01,10390.0,10440.0,10140.0,10190.0,798460
2015-12-02,10640.0,10890.0,10440.0,10440.0,1343120
2015-12-03,10690.0,10740.0,10640.0,10740.0,903160
2015-12-04,10440.0,10640.0,10440.0,10590.0,580460
2015-12-07,10290.0,10440.0,10240.0,10290.0,615120
2015-12-08,10540.0,10540.0,10140.0,10190.0,859320
2015-12-09,10340.0,10640.0,10340.0,10640.0,317220
2015-12-10,10190.0,10340.0,10140.0,10190.0,685510
2015-12-11,10090.0,10240.0,10090.0,10140.0,938690
2015-12-14,10040.0,10240.0,9990.0,10040.0,479600
2015-12-15,10040.0,10190.0,9940.0,10040.0,1710810
2015-12-16,10340.0,10440.0,10040.0,10040.0,6453910
2015-12-17,10790.0,10940.0,10640.0,10640.0,1962310
2015-12-18,10690.0,10790.0,10590.0,10590.0,1297640
2015-12-21,10390.0,10540.0,10340.0,10490.0,2292130
2015-12-22,10490.0,10690.0,10340.0,10390.0,1438220
2015-12-23,10390.0,10640.0,10390.0,10490.0,660920
2015-12-24,10290.0,10490.0,10290.0,10490.0,625710
2015-12-25,10240.0,10440.0,10240.0,10290.0,1179440
2015-12-28,10140.0,10290.0,10040.0,10240.0,1567150
2015-12-29,10390.0,10390.0,10090.0,10190.0,979430
2015-12-30,10440.0,10590.0,10390.0,10390.0,1242400
2015-12-31,10340.0,10490.0,10290.0,10390.0,1000490
2016-01-04,10140.0,10440.0,10140.0,10340.0,1019270
2016-01-05,10090.0,10240.0,10040.0,10090.0,1104280
2016-01-06,10140.0,10190.0,10040.0,10040.0,895200
2016-01-07,9690.0,10140.0,9540.0,10090.0,2583350
2016-01-08,9440.0,9690.0,9190.0,9690.0,1217770
2016-01-11,9540.0,9690.0,9490.0,9540.0,902550
