Date,Close,High,Low,Open,Volume
2009-04-17,2670.0,2870.0,2650.0,2870.0,63700
2009-04-20,2540.0,2600.0,2540.0,2540.0,71160
2009-04-21,2510.0,2530.0,2410.0,2410.0,73760
2009-04-22,2630.0,2630.0,2630.0,2630.0,40970
2009-04-23,2650.0,2730.0,2630.0,2730.0,54380
2009-04-24,2600.0,2650.0,2600.0,2640.0,62790
2009-04-27,2630.0,2690.0,2600.0,2690.0,18290
2009-04-28,2630.0,2680.0,2630.0,2630.0,33450
2009-04-29,2760.0,2760.0,2760.0,2760.0,40140
2009-05-04,2890.0,2890.0,2890.0,2890.0,32680
2009-05-05,3030.0,3030.0,3030.0,3030.0,5370
2009-05-06,3180.0,3180.0,3180.0,3180.0,83830
2009-05-07,3340.0,3340.0,3340.0,3340.0,12520
2009-05-08,3500.0,3500.0,3480.0,3480.0,179420
2009-05-11,3650.0,3650.0,3580.0,3650.0,139250
2009-05-12,3830.0,3830.0,3650.0,3650.0,128940
2009-05-13,3930.0,4000.0,3930.0,3970.0,148730
2009-05-14,3760.0,3830.0,3760.0,3760.0,137820
2009-05-15,3930.0,3930.0,3790.0,3790.0,66560
2009-05-18,3760.0,3900.0,3760.0,3790.0,98230
2009-05-19,3720.0,3860.0,3580.0,3860.0,77540
2009-05-20,3650.0,3760.0,3650.0,3650.0,80520
2009-05-21,3830.0,3830.0,3690.0,3690.0,143750
2009-05-22,3760.0,3830.0,3650.0,3690.0,23100
2009-05-25,3930.0,3930.0,3900.0,3900.0,112430
2009-05-26,3970.0,4000.0,3930.0,3970.0,82500
2009-05-27,3930.0,4000.0,3900.0,4000.0,39730
2009-05-28,3790.0,3860.0,3790.0,3790.0,29550
2009-05-29,3790.0,3860.0,3760.0,3860.0,59440
2009-06-01,3970.0,3970.0,3900.0,3900.0,100120
2009-06-02,4140.0,4140.0,4140.0,4140.0,51970
2009-06-03,4320.0,4320.0,4320.0,4320.0,66910
2009-06-04,4530.0,4530.0,4530.0,4530.0,16620
2009-06-05,4740.0,4740.0,4740.0,4740.0,6980
2009-06-08,4950.0,4950.0,4950.0,4950.0,8280
2009-06-09,4950.0,5130.0,4990.0,5130.0,251940
