Date,Close,High,Low,Open,Volume
2006-06-02,11898.015625,11898.015625,11898.015625,11898.015625,492476
2006-06-05,12475.9189453125,12475.9189453125,12475.9189453125,12475.9189453125,261626
2006-06-06,12917.845703125,12917.845703125,12917.845703125,12917.845703125,779756
2006-06-07,12271.953125,12271.953125,12271.953125,12271.953125,615594
2006-06-08,12713.87890625,12713.87890625,12713.87890625,12713.87890625,436046
2006-06-09,12781.8681640625,12781.8681640625,12781.8681640625,12781.8681640625,518126
2006-06-12,12543.9072265625,12543.9072265625,12543.9072265625,12543.9072265625,169287
2006-06-13,12543.9072265625,12543.9072265625,12543.9072265625,12543.9072265625,256497
2006-06-14,12305.9482421875,12305.9482421875,12305.9482421875,12305.9482421875,100029
2006-06-15,12305.9482421875,12305.9482421875,12305.9482421875,12305.9482421875,110289
2006-06-16,12237.958984375,12237.958984375,12237.958984375,12237.958984375,79510
2006-06-19,12169.9697265625,12169.9697265625,12169.9697265625,12169.9697265625,87204
2007-04-02,24475.91796875,24475.91796875,24475.91796875,24475.91796875,79690
2007-04-03,23796.03125,23796.03125,23796.03125,23796.03125,98824
2007-04-04,24475.91796875,24475.91796875,24475.91796875,24475.91796875,80177
2007-04-05,24135.974609375,24135.974609375,24135.974609375,24135.974609375,72919
2007-04-06,23796.03125,23796.03125,23796.03125,23796.03125,60991
2007-04-09,23796.03125,23796.03125,23796.03125,23796.03125,97618
2007-04-10,24475.91796875,24475.91796875,24475.91796875,24475.91796875,260370
2007-04-11,24475.91796875,24475.91796875,24475.91796875,24475.91796875,198449
2007-04-12,23796.03125,23796.03125,23796.03125,23796.03125,37932
2007-04-13,22776.201171875,22776.201171875,22776.201171875,22776.201171875,132171
2007-04-16,21756.369140625,21756.369140625,21756.369140625,21756.369140625,70764
2007-04-17,21076.482421875,21076.482421875,21076.482421875,21076.482421875,244287
2007-04-18,22096.314453125,22096.314453125,22096.314453125,22096.314453125,77458
2007-04-19,23116.146484375,23116.146484375,23116.146484375,23116.146484375,301511
2007-04-20,22096.314453125,22096.314453125,22096.314453125,22096.314453125,268603
2007-04-23,21076.482421875,21076.482421875,21076.482421875,21076.482421875,104570
2007-04-24,20396.599609375,20396.599609375,20396.599609375,20396.599609375,97618
2007-04-25,21416.4296875,21416.4296875,21416.4296875,21416.4296875,202553
2007-05-02,22096.314453125,22096.314453125,22096.314453125,22096.314453125,659842
2007-05-03,23116.146484375,23116.146484375,23116.146484375,23116.146484375,634575
2007-05-04,23116.146484375,23116.146484375,23116.146484375,23116.146484375,249417
2007-05-07,24135.974609375,24135.974609375,24135.974609375,24135.974609375,415962
2007-05-08,25325.775390625,25325.775390625,25325.775390625,25325.775390625,790067
2007-05-09,26515.576171875,26515.576171875,26515.576171875,26515.576171875,693340
2007-05-10,25325.775390625,25325.775390625,25325.775390625,25325.775390625,77099
2007-05-11,25155.8046875,25155.8046875,25155.8046875,25155.8046875,119960
2007-05-14,26345.607421875,26345.607421875,26345.607421875,26345.607421875,228460
2007-05-15,27535.408203125,27535.408203125,27535.408203125,27535.408203125,560808
2007-05-16,26175.634765625,26175.634765625,26175.634765625,26175.634765625,300024
2007-05-17,27195.46484375,27195.46484375,27195.46484375,27195.46484375,108212
2007-05-18,26345.607421875,26345.607421875,26345.607421875,26345.607421875,133248
2007-05-21,26515.576171875,26515.576171875,26515.576171875,26515.576171875,67019
2007-05-22,26855.521484375,26855.521484375,26855.521484375,26855.521484375,87204
2007-05-23,26855.521484375,26855.521484375,26855.521484375,26855.521484375,107391
2007-05-24,25835.69140625,25835.69140625,25835.69140625,25835.69140625,39804
2007-05-25,26175.634765625,26175.634765625,26175.634765625,26175.634765625,37598
2007-05-28,25835.69140625,25835.69140625,25835.69140625,25835.69140625,54681
2007-05-29,25835.69140625,25835.69140625,25835.69140625,25835.69140625,39548
2007-05-30,24645.890625,24645.890625,24645.890625,24645.890625,174570
2007-05-31,25155.8046875,25155.8046875,25155.8046875,25155.8046875,52142
2007-06-01,24985.83203125,24985.83203125,24985.83203125,24985.83203125,42498
2007-06-04,24985.83203125,24985.83203125,24985.83203125,24985.83203125,39933
2007-06-05,24645.890625,24645.890625,24645.890625,24645.890625,22850
2007-06-06,24645.890625,24645.890625,24645.890625,24645.890625,72868
2007-06-07,24645.890625,24645.890625,24645.890625,24645.890625,72406
2007-06-08,24645.890625,24645.890625,24645.890625,24645.890625,73867
