Date,Close,High,Low,Open,Volume
2009-04-17,3190.0,3330.0,3170.0,3330.0,57320
2009-04-20,3030.0,3190.0,3030.0,3030.0,63580
2009-04-21,2930.0,3030.0,2890.0,2890.0,53560
2009-04-22,3060.0,3060.0,3020.0,3060.0,27170
2009-04-23,3130.0,3170.0,3100.0,3130.0,23880
2009-04-24,3050.0,3110.0,3000.0,3100.0,52350
2009-04-27,3000.0,3080.0,3000.0,3030.0,36030
2009-04-28,3000.0,3050.0,2940.0,2940.0,21040
2009-04-29,3050.0,3060.0,3000.0,3000.0,15410
2009-05-04,3190.0,3190.0,3190.0,3190.0,62180
2009-05-05,3340.0,3340.0,3340.0,3340.0,27750
2009-05-06,3270.0,3390.0,3250.0,3370.0,97760
2009-05-07,3420.0,3420.0,3250.0,3400.0,140390
2009-05-08,3330.0,3470.0,3280.0,3280.0,77730
2009-05-11,3250.0,3390.0,3250.0,3330.0,73900
2009-05-12,3330.0,3370.0,3250.0,3250.0,42920
2009-05-13,3340.0,3420.0,3330.0,3420.0,96070
2009-05-14,3370.0,3400.0,3280.0,3400.0,36710
2009-05-15,3370.0,3370.0,3250.0,3370.0,70830
2009-05-18,3400.0,3400.0,3250.0,3250.0,60810
2009-05-19,3580.0,3580.0,3470.0,3560.0,103280
2009-05-20,3750.0,3750.0,3750.0,3750.0,74810
2009-05-21,3750.0,3900.0,3640.0,3880.0,155460
2009-05-22,3640.0,3710.0,3560.0,3710.0,124330
2009-05-25,3810.0,3810.0,3730.0,3760.0,77880
2009-05-26,3930.0,3930.0,3810.0,3930.0,89140
2009-05-27,3810.0,3920.0,3750.0,3820.0,109730
2009-05-28,3710.0,3760.0,3640.0,3650.0,81210
2009-05-29,3810.0,3900.0,3750.0,3900.0,32750
2009-06-01,3990.0,3990.0,3920.0,3950.0,63760
2009-06-02,4180.0,4180.0,4180.0,4180.0,63330
2009-06-03,4380.0,4380.0,4330.0,4380.0,196980
2009-06-04,4600.0,4600.0,4530.0,4550.0,94650
2009-06-05,4810.0,4810.0,4810.0,4810.0,36660
2009-06-08,5050.0,5050.0,5030.0,5050.0,147540
2009-06-09,4810.0,5050.0,4950.0,4950.0,148470
2009-06-10,4580.0,4600.0,4580.0,4580.0,76130
