Date,Close,High,Low,Open,Volume
2009-03-23,9450.0,9450.0,9450.0,9450.0,3040
2009-03-24,9820.0,9920.0,9570.0,9570.0,10070
2009-03-25,9820.0,9820.0,9700.0,9700.0,11500
2009-03-26,9950.0,10070.0,9820.0,9950.0,25060
2009-03-27,10420.0,10440.0,9970.0,10200.0,39670
2009-03-30,10250.0,10420.0,10250.0,10420.0,5490
2009-03-31,9870.0,9950.0,9750.0,9950.0,18370
2009-04-01,10200.0,10350.0,10200.0,10350.0,16570
2009-04-02,10320.0,10420.0,10200.0,10420.0,44880
2009-04-03,10570.0,10790.0,10570.0,10790.0,7340
2009-04-07,10440.0,10570.0,10070.0,10070.0,52870
2009-04-08,9950.0,10570.0,9950.0,10220.0,34330
2009-04-09,10020.0,10200.0,9570.0,10200.0,39760
2009-04-10,10200.0,10440.0,10020.0,10440.0,26780
2009-04-13,10690.0,10690.0,10640.0,10640.0,40770
2009-04-14,10970.0,11070.0,10690.0,10920.0,44190
2009-04-15,10970.0,10970.0,10490.0,10970.0,22730
2009-04-16,11440.0,11510.0,11220.0,11510.0,26110
2009-04-17,10940.0,12010.0,10870.0,12010.0,37430
2009-04-20,10420.0,10640.0,10420.0,10440.0,17740
2009-04-21,10670.0,10820.0,9920.0,9920.0,22660
2009-04-22,11190.0,11190.0,10570.0,10940.0,16350
2009-04-23,10940.0,10940.0,10940.0,10940.0,10350
2009-04-24,10570.0,10940.0,10490.0,10490.0,21050
2009-04-27,10690.0,10820.0,10690.0,10690.0,4930
2009-04-28,10820.0,11170.0,10690.0,10690.0,6130
2009-04-29,10890.0,10940.0,10820.0,10820.0,12310
2009-05-04,11410.0,11410.0,11410.0,11410.0,32750
2009-05-05,11960.0,11960.0,11960.0,11960.0,9190
2009-05-06,11440.0,11690.0,11440.0,11560.0,34180
2009-05-07,12010.0,12010.0,11440.0,11440.0,25760
2009-05-08,12010.0,12010.0,11490.0,11490.0,22660
2009-05-11,11740.0,12060.0,11540.0,11540.0,28010
2009-05-12,11810.0,11910.0,11690.0,11810.0,24520
2009-05-13,11810.0,11940.0,11710.0,11710.0,13670
2009-05-14,11760.0,11760.0,11610.0,11690.0,26090
2009-05-15,12090.0,12140.0,11810.0,12140.0,19840
2009-05-18,12190.0,12210.0,12090.0,12190.0,34630
2009-05-19,12210.0,12430.0,12210.0,12410.0,6720
2009-05-20,12430.0,12430.0,12190.0,12190.0,20030
2009-05-21,12810.0,12810.0,12410.0,12430.0,15970
2009-05-22,12560.0,12680.0,12560.0,12680.0,11680
2009-05-25,13180.0,13180.0,12680.0,12680.0,15720
2009-05-26,13300.0,13300.0,12930.0,13180.0,16090
2009-05-27,13300.0,13550.0,13300.0,13550.0,10830
2009-05-28,13550.0,13680.0,13300.0,13680.0,30250
2009-05-29,13680.0,13680.0,12930.0,13550.0,30590
2009-06-01,14300.0,14300.0,13930.0,13930.0,67990
2009-06-02,14920.0,14920.0,14920.0,14920.0,2300
2009-06-03,15670.0,15670.0,15670.0,15670.0,7450
2009-06-04,16410.0,16410.0,16410.0,16410.0,2940
2009-06-05,17160.0,17160.0,17160.0,17160.0,28360
2009-06-08,17910.0,17910.0,17910.0,17910.0,60370
2009-06-09,18780.0,18780.0,18780.0,18780.0,87340
2009-06-10,19650.0,19650.0,19650.0,19650.0,180380
2009-06-11,20520.0,20520.0,20520.0,20520.0,47590
2009-06-12,21510.0,21510.0,21510.0,21510.0,86160
2009-06-15,20520.0,21510.0,20520.0,20520.0,68070
2009-06-16,19520.0,19520.0,19520.0,19520.0,2550
2009-06-17,18650.0,18650.0,18650.0,18650.0,14260
2009-06-18,18650.0,19520.0,18650.0,19520.0,62860
2009-06-19,18030.0,19150.0,18030.0,18650.0,43370
2009-06-22,17160.0,17410.0,17160.0,17160.0,31490
2009-06-23,16410.0,17160.0,16410.0,16410.0,44420
2009-06-24,15670.0,17160.0,15670.0,17160.0,54590
2009-06-25,16410.0,16410.0,15790.0,16410.0,29480
2009-06-26,15920.0,16910.0,15670.0,15670.0,39770
2009-06-29,15920.0,16040.0,15290.0,15420.0,72830
2009-06-30,15420.0,16540.0,15420.0,16540.0,27740
2009-07-01,14670.0,15050.0,14670.0,14920.0,25820
2009-07-02,14920.0,15290.0,14550.0,14670.0,42740
2009-07-03,15670.0,15670.0,14800.0,14800.0,16020
2009-07-06,15790.0,16160.0,15790.0,16160.0,49080
2009-07-07,15920.0,15920.0,15670.0,15790.0,36150
2009-07-08,15920.0,16040.0,15920.0,15920.0,144100
2009-07-09,16660.0,16660.0,16660.0,16660.0,10380
2009-07-10,17410.0,17410.0,16910.0,17410.0,196700
2009-07-13,17410.0,17410.0,17160.0,17280.0,57180
2009-07-14,16910.0,17280.0,16910.0,16910.0,30470
2009-07-15,16910.0,17160.0,16910.0,17030.0,34720
2009-07-16,17410.0,17410.0,17030.0,17160.0,51770
2009-07-17,17030.0,17410.0,16790.0,17410.0,400
2009-07-20,16910.0,17160.0,16290.0,17160.0,38100
2009-07-21,17160.0,17160.0,16910.0,16910.0,23940
2009-07-22,16660.0,17410.0,16660.0,17410.0,2240
2009-07-23,17160.0,17160.0,16410.0,16660.0,8740
2009-07-24,17910.0,17910.0,17660.0,17660.0,83200
2009-07-27,17910.0,18030.0,17530.0,18030.0,12960
2009-07-28,17030.0,17780.0,17030.0,17160.0,37150
2009-07-29,17410.0,17530.0,17030.0,17530.0,4560
2009-07-30,16790.0,17030.0,16790.0,16910.0,21550
2009-07-31,17030.0,17160.0,16790.0,16790.0,11710
2009-08-03,17030.0,17410.0,16660.0,16660.0,10600
2009-08-04,17160.0,17280.0,17030.0,17030.0,8130
2009-08-05,17660.0,17910.0,16910.0,16910.0,66260
2009-08-06,18150.0,18530.0,17660.0,18150.0,56860
2009-08-07,18650.0,18650.0,18150.0,18150.0,59810
2009-08-10,19400.0,19400.0,18900.0,19020.0,14690
2009-08-11,19650.0,19890.0,19150.0,19890.0,52200
2009-08-12,19770.0,19890.0,19650.0,19770.0,74950
2009-08-13,20020.0,20520.0,19890.0,20520.0,72180
2009-08-14,20640.0,20890.0,20390.0,20890.0,75990
2009-08-17,20770.0,21140.0,20640.0,20640.0,100280
2009-08-18,20640.0,20770.0,20390.0,20390.0,59720
2009-08-19,20020.0,20640.0,20020.0,20640.0,60450
2009-08-20,19270.0,19890.0,19270.0,19890.0,132260
2009-08-21,19520.0,19890.0,19520.0,19650.0,149860
2009-08-24,15540.0,15540.0,15420.0,15540.0,51970
2009-08-25,15420.0,15920.0,15290.0,15540.0,63210
2009-08-26,14800.0,15420.0,14800.0,15420.0,46350
2009-08-27,15050.0,15050.0,14800.0,14920.0,44190
2009-08-28,15420.0,15420.0,15050.0,15420.0,53780
2009-08-31,15540.0,15670.0,15420.0,15540.0,66460
2009-09-01,15290.0,15420.0,15170.0,15290.0,61040
2009-09-03,15170.0,15170.0,14800.0,15170.0,54740
2009-09-04,14800.0,15170.0,14800.0,14800.0,25090
2009-09-07,14550.0,14670.0,14550.0,14550.0,35190
2009-09-08,14920.0,14920.0,14670.0,14920.0,24650
2009-09-09,14550.0,15170.0,14550.0,14550.0,37730
2009-09-10,14800.0,14800.0,14420.0,14800.0,30570
2009-09-11,15050.0,15050.0,14420.0,14800.0,44730
2009-09-14,15050.0,15170.0,14670.0,15170.0,24050
2009-09-15,15050.0,15050.0,14670.0,15050.0,42010
2009-09-16,15050.0,15170.0,14920.0,15050.0,51940
2009-09-17,15050.0,15050.0,14800.0,15050.0,32950
2009-09-18,14920.0,14920.0,14420.0,14800.0,33720
2009-09-21,14800.0,14920.0,14800.0,14920.0,49600
2009-09-22,14550.0,14920.0,14550.0,14550.0,25590
2009-09-23,14550.0,14800.0,14550.0,14670.0,20730
2009-09-24,14670.0,14670.0,14550.0,14550.0,22360
2009-09-25,15290.0,15290.0,14800.0,14920.0,118470
2009-09-28,15420.0,15790.0,15290.0,15790.0,30040
2009-09-29,15170.0,15420.0,15050.0,15420.0,11850
2009-09-30,15540.0,15540.0,14800.0,14800.0,27880
2009-10-01,14800.0,15290.0,14800.0,15290.0,23640
2009-10-02,14300.0,15170.0,14170.0,15170.0,33720
2009-10-05,14670.0,14800.0,14170.0,14170.0,23480
2009-10-06,14670.0,15170.0,14670.0,14670.0,7430
2009-10-07,15170.0,15170.0,14920.0,14920.0,48970
2009-10-08,15170.0,15170.0,14800.0,14800.0,10060
2009-10-09,14920.0,15170.0,14920.0,15170.0,25330
2009-10-12,15050.0,15170.0,14670.0,15170.0,15930
2009-10-13,14800.0,14920.0,14670.0,14920.0,17520
2009-10-14,14920.0,15420.0,14420.0,14420.0,77520
2009-10-15,15170.0,15670.0,15050.0,15670.0,93860
2009-10-16,15050.0,15290.0,14920.0,15170.0,57960
2009-10-19,15790.0,15790.0,14670.0,14670.0,195870
2009-10-20,16410.0,16540.0,16290.0,16540.0,219470
2009-10-21,16660.0,16660.0,15920.0,16660.0,177510
2009-10-22,16410.0,16660.0,16160.0,16410.0,51910
2009-10-23,16040.0,16290.0,15920.0,16040.0,93420
2009-10-26,15290.0,15670.0,15290.0,15420.0,66960
2009-10-27,15170.0,15170.0,14670.0,14800.0,35940
2009-10-28,15420.0,15420.0,14920.0,15050.0,20460
2009-10-29,14670.0,15170.0,14670.0,15170.0,89520
2009-10-30,15050.0,15170.0,14670.0,15170.0,29510
2009-11-02,14670.0,14920.0,14420.0,14800.0,64240
2009-11-03,14300.0,14670.0,14170.0,14300.0,25290
2009-11-04,14920.0,14920.0,14170.0,14300.0,96730
2009-11-05,15050.0,15170.0,14920.0,14920.0,11600
2009-11-06,14920.0,15170.0,14920.0,15050.0,82380
2009-11-09,14420.0,14800.0,14420.0,14670.0,96440
2009-11-10,14050.0,14170.0,13930.0,14050.0,24910
2009-11-11,14300.0,14300.0,13930.0,13930.0,47200
2009-11-12,14670.0,14670.0,14050.0,14170.0,64610
2009-11-13,14420.0,14550.0,14050.0,14050.0,8670
2009-11-16,14420.0,14550.0,14420.0,14420.0,5580
2009-11-17,14670.0,14670.0,14420.0,14670.0,62640
2009-11-18,14300.0,14420.0,14300.0,14300.0,650
2009-11-19,14670.0,14670.0,14420.0,14420.0,7980
2009-11-20,14420.0,14670.0,14420.0,14420.0,22490
2009-11-23,14550.0,14550.0,13930.0,14550.0,10450
2009-11-24,13930.0,14170.0,13930.0,14170.0,12430
2009-11-25,13300.0,13550.0,13300.0,13550.0,11150
2009-11-26,12680.0,12930.0,12680.0,12680.0,71680
2009-11-27,13300.0,13300.0,12060.0,12060.0,38080
2009-11-30,13680.0,13680.0,13680.0,13680.0,1730
2009-12-01,14300.0,14300.0,13430.0,13430.0,74610
2009-12-02,14670.0,14920.0,13800.0,13800.0,101620
2009-12-03,15170.0,15170.0,14050.0,14050.0,102700
2009-12-04,14920.0,15290.0,14920.0,14920.0,81840
2009-12-07,14170.0,14420.0,14170.0,14420.0,14950
2009-12-08,13680.0,13800.0,13680.0,13680.0,65540
2009-12-09,14170.0,14170.0,13060.0,14170.0,71360
2009-12-10,14170.0,14420.0,14170.0,14170.0,19500
2009-12-11,13550.0,13930.0,13550.0,13930.0,4630
2009-12-14,13930.0,14170.0,13060.0,13060.0,9970
2009-12-15,13930.0,14050.0,13930.0,13930.0,3110
2009-12-16,13300.0,13300.0,13300.0,13300.0,4080
2009-12-17,12680.0,12930.0,12680.0,12930.0,6490
2009-12-18,13060.0,13180.0,12930.0,13060.0,4000
2009-12-21,13430.0,13430.0,13430.0,13430.0,1790
2009-12-22,13430.0,13930.0,12810.0,13930.0,15630
2009-12-23,13430.0,13550.0,12810.0,12930.0,14840
2009-12-24,13550.0,13550.0,13550.0,13550.0,5240
2009-12-25,13180.0,13930.0,13180.0,13930.0,17470
2009-12-28,13180.0,13180.0,13060.0,13180.0,22510
2009-12-29,13800.0,13800.0,12560.0,13800.0,77430
2009-12-30,14420.0,14420.0,13930.0,14050.0,126540
2009-12-31,14920.0,14920.0,14670.0,14670.0,30960
2010-01-04,15170.0,15170.0,14920.0,14920.0,6690
2010-01-05,14420.0,15170.0,14420.0,15170.0,18190
2010-01-06,13800.0,14420.0,13800.0,14170.0,14710
2010-01-07,13680.0,14170.0,13430.0,13430.0,92280
2010-01-08,13930.0,14170.0,13800.0,14170.0,54210
2010-01-11,13680.0,13930.0,13680.0,13930.0,6430
2010-01-12,13430.0,13680.0,13300.0,13430.0,1240
2010-01-13,13180.0,13680.0,13180.0,13180.0,2250
2010-01-14,13180.0,13300.0,13180.0,13180.0,60520
2010-01-15,13180.0,13550.0,13180.0,13550.0,18800
2010-01-18,13060.0,13430.0,13060.0,13060.0,19700
2010-01-19,13180.0,13550.0,13180.0,13550.0,260
2010-01-20,13180.0,13550.0,13180.0,13550.0,2440
2010-01-21,13060.0,13060.0,13060.0,13060.0,5210
2010-01-22,12930.0,13180.0,12930.0,13180.0,6520
2010-01-25,12930.0,13430.0,12930.0,13430.0,3260
2010-01-26,13430.0,13430.0,12930.0,13430.0,17180
2010-01-27,12930.0,13430.0,12930.0,13430.0,3630
2010-01-28,13180.0,13180.0,12930.0,13180.0,1030
2010-01-29,13060.0,13300.0,12560.0,12680.0,14000
2010-02-01,13060.0,13060.0,12680.0,12680.0,2650
2010-02-02,12810.0,12930.0,12810.0,12930.0,7470
2010-02-03,12930.0,12930.0,12810.0,12930.0,4470
2010-02-04,13060.0,13060.0,12560.0,12560.0,7330
2010-02-05,12810.0,13060.0,12810.0,12810.0,3080
2010-02-08,12680.0,12680.0,12680.0,12680.0,630
2010-02-09,12680.0,12810.0,12680.0,12680.0,7770
2010-02-10,12930.0,12930.0,12680.0,12680.0,4320
2010-02-11,12680.0,13060.0,12680.0,12680.0,4180
2010-02-12,12680.0,13180.0,12680.0,12680.0,4620
2010-02-22,12680.0,12810.0,12680.0,12680.0,6750
2010-02-23,12190.0,12430.0,12190.0,12430.0,15340
2010-02-24,11960.0,12010.0,11960.0,11960.0,16000
2010-02-25,12060.0,12190.0,11960.0,11960.0,15660
2010-02-26,12060.0,12110.0,12040.0,12060.0,14250
2010-03-01,12430.0,12430.0,12060.0,12060.0,23730
2010-03-02,12060.0,12190.0,12060.0,12190.0,10800
2010-03-03,12010.0,12190.0,11940.0,11940.0,9610
2010-03-04,12060.0,12310.0,12010.0,12010.0,27380
