Date,Close,High,Low,Open,Volume
2009-04-17,1320.0,1410.0,1320.0,1410.0,49680
2009-04-20,1260.0,1280.0,1260.0,1260.0,27540
2009-04-21,1260.0,1260.0,1200.0,1220.0,26170
2009-04-22,1320.0,1320.0,1270.0,1320.0,15080
2009-04-23,1340.0,1360.0,1320.0,1360.0,20780
2009-04-24,1310.0,1340.0,1310.0,1330.0,12800
2009-04-27,1270.0,1320.0,1270.0,1270.0,7240
2009-04-28,1280.0,1280.0,1270.0,1270.0,5710
2009-04-29,1300.0,1300.0,1280.0,1280.0,2530
2009-05-04,1360.0,1360.0,1340.0,1360.0,33560
2009-05-05,1420.0,1420.0,1420.0,1420.0,42640
2009-05-06,1430.0,1470.0,1360.0,1360.0,105410
2009-05-07,1430.0,1450.0,1390.0,1430.0,51830
2009-05-08,1420.0,1420.0,1370.0,1370.0,32720
2009-05-11,1380.0,1420.0,1370.0,1420.0,46040
2009-05-12,1420.0,1420.0,1340.0,1340.0,45890
2009-05-13,1450.0,1450.0,1410.0,1430.0,41800
2009-05-14,1440.0,1440.0,1410.0,1410.0,38210
2009-05-15,1450.0,1450.0,1440.0,1440.0,37430
2009-05-18,1470.0,1470.0,1420.0,1420.0,31000
2009-05-19,1500.0,1530.0,1500.0,1500.0,45100
2009-05-20,1540.0,1550.0,1490.0,1500.0,99400
2009-05-21,1610.0,1610.0,1550.0,1580.0,137990
2009-05-22,1650.0,1650.0,1540.0,1590.0,122300
2009-05-25,1690.0,1690.0,1650.0,1650.0,47580
2009-05-26,1630.0,1670.0,1630.0,1670.0,69020
2009-05-27,1650.0,1650.0,1560.0,1590.0,66300
2009-05-28,1690.0,1690.0,1580.0,1600.0,46190
2009-05-29,1700.0,1700.0,1640.0,1700.0,74360
2009-06-01,1690.0,1740.0,1650.0,1710.0,71410
2009-06-02,1740.0,1740.0,1690.0,1740.0,79550
2009-06-03,1760.0,1770.0,1740.0,1760.0,81310
2009-06-04,1850.0,1850.0,1800.0,1800.0,115510
2009-06-05,1930.0,1930.0,1930.0,1930.0,81630
2009-06-08,2020.0,2020.0,2020.0,2020.0,45050
2009-06-09,2110.0,2100.0,1990.0,2100.0,151750
2009-06-10,2020.0,2050.0,2050.0,2050.0,57130
2009-06-11,2020.0,1980.0,1970.0,1970.0,47970
2009-06-12,1970.0,2080.0,1970.0,2080.0,58500
2009-06-15,1870.0,1870.0,1870.0,1870.0,25320
2009-06-16,1780.0,1780.0,1780.0,1780.0,1890
2009-06-17,1780.0,1780.0,1700.0,1700.0,81240
