Date,Close,High,Low,Open,Volume
2015-11-26,21550.0,21650.0,21450.0,21650.0,122820
2015-11-27,21250.0,21500.0,21250.0,21500.0,240340
2015-11-30,20410.0,21060.0,20360.0,21060.0,495020
2015-12-01,20310.0,20710.0,20310.0,20510.0,283310
2015-12-02,20310.0,20460.0,20210.0,20310.0,543410
2015-12-03,19970.0,20210.0,19820.0,20210.0,498940
2015-12-04,19970.0,20210.0,19920.0,19970.0,508280
2015-12-07,19520.0,19870.0,19520.0,19820.0,698260
2015-12-08,19470.0,19470.0,18830.0,19270.0,778870
2015-12-09,19170.0,19470.0,19170.0,19470.0,269380
2015-12-10,18880.0,19170.0,18880.0,19070.0,393400
2015-12-11,19020.0,19120.0,18780.0,18880.0,360100
2015-12-14,18530.0,18830.0,18380.0,18780.0,660590
2015-12-15,18880.0,19070.0,18730.0,18780.0,408030
2015-12-16,19020.0,19170.0,18980.0,19070.0,260170
2015-12-17,18780.0,19020.0,18780.0,18830.0,352990
2015-12-18,18630.0,18830.0,18580.0,18780.0,225030
2015-12-21,18180.0,18680.0,18130.0,18630.0,667530
2015-12-22,18280.0,18430.0,18180.0,18180.0,364390
2015-12-23,18330.0,18430.0,18230.0,18280.0,197930
2015-12-24,18530.0,18980.0,18530.0,18730.0,499280
2015-12-25,18580.0,18780.0,18530.0,18630.0,263940
2015-12-28,18230.0,18680.0,18230.0,18680.0,238010
2015-12-29,18080.0,18330.0,17840.0,18130.0,279070
2015-12-30,18080.0,18330.0,17940.0,18080.0,167250
2015-12-31,17940.0,18130.0,17940.0,18130.0,162060
2016-01-04,17940.0,18330.0,17940.0,18280.0,182580
2016-01-05,17890.0,18080.0,17840.0,17940.0,233890
2016-01-06,17980.0,18030.0,17890.0,17890.0,105380
2016-01-07,17090.0,17840.0,17090.0,17840.0,759190
2016-01-08,17340.0,17390.0,17040.0,17140.0,332300
2016-01-11,17340.0,17490.0,17240.0,17340.0,324170
2016-01-12,17190.0,17240.0,16890.0,16890.0,337230
2016-01-13,17340.0,17690.0,17190.0,17190.0,473070
2016-01-14,17040.0,17340.0,16990.0,17340.0,435400
2016-01-15,16990.0,17290.0,16990.0,17140.0,214240
2016-01-18,15800.0,16800.0,15800.0,16800.0,1238200
2016-01-19,15800.0,16100.000000000002,15760.0,15850.0,514120
2016-01-20,15210.0,15800.0,15210.0,15800.0,873730
2016-01-21,14860.0,15210.0,14760.0,14910.0,1009530
2016-01-22,15850.0,15900.0,14960.0,15060.0,1189260
2016-01-25,16940.0,16940.0,16750.0,16750.0,753540
2016-01-26,17590.0,18080.0,16350.000000000002,16850.0,1059720
2016-01-27,18080.0,18430.0,17940.0,18080.0,967500
2016-01-28,18180.0,18630.0,17980.0,18330.0,1009030
2016-01-29,19420.0,19420.0,18380.0,18580.0,1288510
2016-02-01,18580.0,19570.0,18580.0,19520.0,1125880
2016-02-02,17840.0,18230.0,17590.0,17890.0,766710
2016-02-03,18930.0,18930.0,17140.0,17290.0,869550
2016-02-04,18830.0,19370.0,18680.0,19370.0,357750
2016-02-05,18830.0,18830.0,18580.0,18830.0,193980
2016-02-15,18930.0,19070.0,18580.0,18630.0,799110
2016-02-16,19820.0,19820.0,18980.0,18980.0,1364980
2016-02-17,19520.0,19770.0,19320.0,19720.0,765590
2016-02-18,20660.0,20810.0,20020.0,20070.0,1427340
2016-02-19,21060.0,21300.0,20210.0,20210.0,1219680
2016-02-22,21250.0,21450.0,20960.0,20960.0,691380
2016-02-23,21450.0,22290.0,21400.0,21400.0,1480380
2016-02-24,21200.0,21500.0,20810.0,21350.0,1509510
2016-02-25,20710.0,21700.0,20710.0,21700.0,686070
2016-02-26,21060.0,21250.0,20810.0,21060.0,787790
2016-02-29,21160.0,21450.0,21110.0,21200.0,612850
2016-03-01,21600.0,21900.0,21160.0,21350.0,909320
2016-03-02,21850.0,22050.0,21700.0,21800.0,779100
2016-03-03,22390.0,22490.0,22150.0,22150.0,775150
2016-03-04,22940.0,22990.0,22200.0,22290.0,1085350
2016-03-07,24470.0,24520.0,23630.0,23730.0,1965600
2016-03-08,23880.0,25520.0,23780.0,24770.0,1734860
2016-03-09,23480.0,23930.0,23340.0,23340.0,978270
2016-03-10,23930.0,24280.0,23680.0,24080.0,896680
2016-03-11,23830.0,23980.0,23630.0,23930.0,926390
2016-03-14,23880.0,24130.0,23830.0,23980.0,535200
2016-03-15,23040.0,23630.0,22940.0,23630.0,1433850
2016-03-16,23240.0,23380.0,22990.0,23090.0,609350
2016-03-17,24270.0,24690.0,24270.0,24630.0,1231580
2016-03-18,23910.0,24630.0,23910.0,24630.0,739470
2016-03-21,23290.0,23910.0,23290.0,23810.0,670640
2016-03-22,23550.0,24060.0,23080.0,23650.0,1011840
2016-03-23,24010.0,24060.0,23490.0,23550.0,612230
2016-03-24,23340.0,23810.0,23340.0,23700.0,855580
2016-03-25,23390.0,23490.0,23130.0,23240.0,750070
2016-03-28,23390.0,23550.0,23290.0,23440.0,273940
2016-03-29,22510.0,23240.0,22510.0,23240.0,824770
2016-03-30,22250.0,22670.0,22150.0,22410.0,607540
2016-03-31,21220.0,22150.0,21220.0,22150.0,814690
2016-04-01,21480.0,21580.0,21170.0,21220.0,470820
2016-04-04,20910.0,21480.0,20800.0,20800.0,697070
2016-04-05,21220.0,21220.0,20490.0,20700.0,813570
2016-04-06,22250.0,22250.0,21630.0,21790.0,844500
2016-04-07,22820.0,23030.0,22560.0,22820.0,1021450
2016-04-08,22820.0,23550.0,22620.0,23550.0,693050
2016-04-11,23290.0,23650.0,23240.0,23390.0,968630
2016-04-12,23550.0,23600.0,23290.0,23290.0,914510
2016-04-13,23910.0,24320.0,23650.0,23960.0,1273840
2016-04-14,23750.0,23960.0,23550.0,23550.0,714940
2016-04-15,23960.0,24220.0,23810.0,23810.0,880220
2016-04-19,22930.0,23340.0,22820.0,23290.0,1543460
2016-04-20,23180.0,23240.0,22980.0,23180.0,859070
2016-04-21,24630.0,24630.0,23650.0,23700.0,1430930
2016-04-22,25620.0,25620.0,24320.0,24320.0,2152670
2016-04-25,25000.0,25670.0,25000.0,25670.0,692070
2016-04-26,25620.0,25620.0,24690.0,24840.0,841390
2016-04-27,26130.0,26910.0,25880.0,26390.0,1114170
2016-04-28,26390.0,27170.0,26130.0,26390.0,1261820
2016-04-29,26390.0,26910.0,26130.0,26650.0,583190
2016-05-04,26130.0,26130.0,25250.0,25360.0,1295780
2016-05-05,25880.0,26650.0,25880.0,26130.0,536180
2016-05-06,26130.0,26910.0,25770.0,25880.0,816430
2016-05-09,26390.0,26650.0,25880.0,26650.0,576800
2016-05-10,26390.0,26390.0,25620.0,25880.0,974170
2016-05-11,26910.0,26910.0,26130.0,26390.0,630570
2016-05-12,27170.0,27950.0,26910.0,27170.0,786420
2016-05-13,27950.0,27950.0,26910.0,27170.0,780030
2016-05-16,28720.0,28720.0,27690.0,27690.0,818020
2016-05-17,30530.0,30530.0,29240.0,29500.0,1565850
2016-05-18,30020.0,31050.0,29760.0,30530.0,1128220
2016-05-19,29760.0,30020.0,29240.0,29500.0,779220
2016-05-20,29760.0,30270.0,29500.0,30270.0,671010
2016-05-23,29240.0,29760.0,28980.0,29760.0,488360
2016-05-24,29240.0,29500.0,28460.0,28980.0,470200
2016-05-25,29760.0,30020.0,29500.0,29760.0,379090
2016-05-26,29500.0,30020.0,29240.0,29760.0,401200
2016-05-27,29240.0,29500.0,28980.0,29240.0,280110
2016-05-30,29500.0,29760.0,28980.0,29500.0,400740
2016-05-31,31050.0,31310.0,29500.0,29500.0,972210
2016-06-01,31050.0,31310.0,30530.0,30790.0,407400
2016-06-02,31830.0,31830.0,30790.0,30790.0,543250
2016-06-03,31310.0,32340.000000000004,31310.0,31830.0,337210
2016-06-06,31310.0,31570.0,30790.0,31050.0,321640
2016-06-07,31830.0,32090.000000000004,31310.0,32090.000000000004,170530
2016-06-08,31310.0,32600.0,31310.0,32340.000000000004,595820
2016-06-09,32090.000000000004,32090.000000000004,31570.0,31570.0,423150
2016-06-10,31310.0,32090.000000000004,31310.0,31570.0,555260
2016-06-13,31050.0,31050.0,30270.0,30530.0,751750
2016-06-14,31050.0,31570.0,30530.0,31050.0,511180
2016-06-15,31830.0,32090.000000000004,30530.0,30790.0,564820
2016-06-16,31050.0,31830.0,31050.0,31570.0,398130
2016-06-17,30790.0,31310.0,30530.0,30530.0,329190
2016-06-20,31830.0,31830.0,31050.0,31310.0,322630
2016-06-21,31310.0,32090.000000000004,31310.0,31830.0,277680
2016-06-22,31310.0,31830.0,31310.0,31570.0,129740
2016-06-23,31570.0,31570.0,31310.0,31310.0,135840
2016-06-24,31050.0,31830.0,29500.0,31830.0,991960
2016-06-27,31310.0,31570.0,30020.0,30270.0,249890
2016-06-28,31310.0,31310.0,30530.0,30530.0,123320
2016-06-29,32090.000000000004,32090.000000000004,31310.0,31310.0,452560
2016-06-30,32340.000000000004,33380.0,32340.000000000004,32600.0,336610
2016-07-01,33900.0,34410.0,32600.0,32600.0,708190
2016-07-04,34410.0,34410.0,33900.0,34160.0,204330
2016-07-05,33900.0,34930.0,33640.0,34410.0,430750
2016-07-06,33380.0,33900.0,33120.0,33380.0,461320
2016-07-07,34670.0,34670.0,33380.0,33640.0,468190
2016-07-08,34160.0,34670.0,33640.0,34160.0,764050
2016-07-11,33120.0,34160.0,32860.0,33640.0,620090
2016-07-12,33380.0,33640.0,33120.0,33120.0,516910
2016-07-13,34160.0,34670.0,33640.0,33900.0,686300
2016-07-14,33380.0,34410.0,33380.0,33900.0,423230
2016-07-15,33120.0,33640.0,33120.0,33640.0,308940
2016-07-18,33640.0,33640.0,33120.0,33380.0,218600
2016-07-19,33120.0,33640.0,32340.000000000004,33380.0,509820
2016-07-20,32340.000000000004,33120.0,32340.000000000004,32860.0,370850
2016-07-21,32600.0,33380.0,32340.000000000004,32600.0,364630
2016-07-22,31830.0,32090.000000000004,30790.0,32090.000000000004,527280
2016-07-25,32090.000000000004,32600.0,31310.0,31830.0,258480
2016-07-26,30530.0,31830.0,30530.0,31830.0,476690
2016-07-27,31310.0,31310.0,30530.0,30530.0,431140
2016-07-28,30020.0,31050.0,29500.0,31050.0,434230
2016-07-29,30270.0,30530.0,28980.0,29240.0,342350
2016-08-01,31050.0,31310.0,30270.0,31050.0,157810
2016-08-02,30790.0,30790.0,30020.0,30020.0,505680
2016-08-03,30530.0,30790.0,30020.0,30270.0,340370
2016-08-04,30790.0,31310.0,30790.0,31050.0,284210
2016-08-05,30790.0,31310.0,30790.0,30790.0,242360
2016-08-08,31310.0,31310.0,30530.0,30790.0,233810
2016-08-09,31830.0,32090.000000000004,31310.0,31570.0,155570
2016-08-10,32090.000000000004,32090.000000000004,31570.0,31830.0,282640
2016-08-11,32090.000000000004,32090.000000000004,31310.0,31570.0,328430
