Date,Close,High,Low,Open,Volume
2015-09-28,3020.0,3120.0,3020.0,3100.0,1005260
2015-09-29,3010.0,3010.0,2970.0,3000.0,1006020
2015-09-30,3040.0,3070.0,3020.0,3020.0,554080
2015-10-01,3070.0,3070.0,3040.0,3040.0,304040
2015-10-02,3090.0,3130.0,3070.0,3070.0,903700
2015-10-05,3140.0,3140.0,3080.0,3080.0,1300420
2015-10-06,3200.0,3210.0,3150.0,3170.0,3208050
2015-10-07,3150.0,3210.0,3140.0,3210.0,1510940
2015-10-08,3220.0,3230.0,3140.0,3160.0,1920520
2015-10-09,3240.0,3280.0,3210.0,3240.0,1589230
2015-10-12,3280.0,3300.0,3240.0,3250.0,2015180
2015-10-13,3240.0,3270.0,3240.0,3260.0,903340
2015-10-14,3230.0,3260.0,3230.0,3240.0,1203260
2015-10-15,3230.0,3330.0,3230.0,3240.0,2543820
2015-10-16,3200.0,3280.0,3190.0,3250.0,2343410
2015-10-19,3200.0,3220.0,3180.0,3220.0,1717090
2015-10-20,3140.0,3200.0,3130.0,3200.0,1727880
2015-10-21,3120.0,3180.0,3110.0,3140.0,1133870
2015-10-22,3140.0,3150.0,3110.0,3110.0,881840
2015-10-23,3180.0,3200.0,3160.0,3200.0,1050300
2015-10-26,3190.0,3240.0,3190.0,3190.0,1371800
2015-10-27,3170.0,3200.0,3160.0,3190.0,837210
2015-10-28,3140.0,3180.0,3140.0,3170.0,986700
2015-10-29,3150.0,3180.0,3140.0,3150.0,1479150
2015-10-30,3150.0,3170.0,3140.0,3150.0,1046520
2015-11-02,3120.0,3150.0,3100.0,3150.0,1201140
2015-11-03,3150.0,3150.0,3090.0,3120.0,934900
2015-11-04,3110.0,3160.0,3090.0,3160.0,1137210
2015-11-05,3100.0,3130.0,3100.0,3110.0,651500
2015-11-06,3100.0,3130.0,3080.0,3100.0,925860
2015-11-09,3070.0,3110.0,3070.0,3080.0,555820
2015-11-10,3050.0,3080.0,3040.0,3070.0,674010
2015-11-11,3030.0,3060.0,3030.0,3050.0,730200
2015-11-12,3010.0,3040.0,2980.0,3030.0,1406120
2015-11-13,3010.0,3020.0,2990.0,3010.0,1306930
2015-11-16,2960.0,3020.0,2960.0,3020.0,1217400
2015-11-17,3020.0,3050.0,2960.0,2960.0,2014180
2015-11-18,3010.0,3040.0,3000.0,3030.0,596730
2015-11-19,2980.0,3010.0,2980.0,3010.0,436500
2015-11-20,2990.0,3010.0,2960.0,2970.0,812890
2015-11-23,3020.0,3030.0,3000.0,3000.0,966110
2015-11-24,3010.0,3040.0,3010.0,3020.0,1097160
2015-11-25,3110.0,3110.0,2990.0,3010.0,2194230
2015-11-26,3170.0,3200.0,3120.0,3140.0,2819750
2015-11-27,3130.0,3210.0,3130.0,3180.0,3387410
2015-11-30,3050.0,3100.0,3040.0,3100.0,1147460
2015-12-01,3030.0,3070.0,3030.0,3060.0,1041490
2015-12-02,3060.0,3070.0,3030.0,3030.0,1342220
2015-12-03,3060.0,3090.0,3050.0,3060.0,658700
2015-12-04,3030.0,3060.0,3010.0,3060.0,817290
2015-12-07,2990.0,3030.0,2980.0,3010.0,691540
2015-12-08,3030.0,3040.0,2960.0,2970.0,776960
2015-12-09,2980.0,3040.0,2980.0,3030.0,530540
2015-12-10,2940.0,3000.0,2940.0,2970.0,1068970
2015-12-11,2980.0,2990.0,2940.0,2950.0,849510
2015-12-14,3060.0,3100.0,3060.0,3090.0,1578990
2015-12-15,3060.0,3080.0,3050.0,3050.0,1399890
2015-12-16,3050.0,3070.0,3050.0,3070.0,754300
2015-12-17,3040.0,3060.0,3030.0,3050.0,644820
2015-12-18,3040.0,3070.0,3020.0,3040.0,9525010
2015-12-21,3000.0,3020.0,2980.0,3020.0,881460
2015-12-22,2970.0,2990.0,2960.0,2990.0,435510
2015-12-23,2950.0,2980.0,2940.0,2980.0,664920
2015-12-24,2950.0,2980.0,2950.0,2950.0,230640
2015-12-25,2950.0,2970.0,2940.0,2950.0,403760
2015-12-28,2890.0,2960.0,2890.0,2950.0,1002190
2015-12-29,2890.0,2910.0,2870.0,2900.0,466130
2015-12-30,2930.0,2950.0,2900.0,2920.0,652720
2015-12-31,2920.0,2930.0,2890.0,2930.0,390410
2016-01-04,2880.0,2930.0,2880.0,2930.0,404530
2016-01-05,2850.0,2890.0,2850.0,2870.0,628760
2016-01-06,2900.0,2900.0,2850.0,2850.0,658730
2016-01-07,2820.0,2870.0,2810.0,2860.0,1030130
2016-01-08,2770.0,2810.0,2750.0,2770.0,864290
2016-01-11,2770.0,2790.0,2760.0,2790.0,488320
2016-01-12,2800.0,2810.0,2760.0,2760.0,343540
2016-01-13,2750.0,2810.0,2750.0,2810.0,685150
2016-01-14,2650.0,2740.0,2640.0,2740.0,1479820
2016-01-15,2550.0,2660.0,2530.0,2650.0,2199370
2016-01-18,2480.0,2490.0,2390.0,2410.0,2898070
2016-01-19,2520.0,2550.0,2480.0,2490.0,2466700
2016-01-20,2520.0,2550.0,2470.0,2500.0,1989300
2016-01-21,2550.0,2550.0,2480.0,2480.0,2017340
2016-01-22,2560.0,2590.0,2530.0,2560.0,2755250
2016-01-25,2720.0,2730.0,2600.0,2600.0,1238860
2016-01-26,2640.0,2710.0,2630.0,2650.0,1299900
2016-01-27,2680.0,2700.0,2660.0,2690.0,1218350
2016-01-28,2650.0,2720.0,2650.0,2690.0,778140
2016-01-29,2750.0,2750.0,2650.0,2670.0,860030
2016-02-01,2670.0,2800.0,2670.0,2750.0,855840
2016-02-02,2680.0,2690.0,2640.0,2650.0,289590
2016-02-03,2680.0,2690.0,2630.0,2640.0,1232420
2016-02-04,2700.0,2710.0,2690.0,2690.0,177320
2016-02-05,2700.0,2720.0,2680.0,2700.0,155980
2016-02-15,2640.0,2700.0,2600.0,2700.0,1033620
2016-02-16,2670.0,2680.0,2640.0,2640.0,489920
2016-02-17,2670.0,2680.0,2650.0,2650.0,605330
2016-02-18,2680.0,2710.0,2680.0,2680.0,502930
2016-02-19,2700.0,2710.0,2680.0,2680.0,704540
2016-02-22,2720.0,2770.0,2690.0,2690.0,1091060
2016-02-23,2720.0,2790.0,2720.0,2790.0,807300
2016-02-24,2720.0,2730.0,2680.0,2720.0,669660
2016-02-25,2730.0,2790.0,2720.0,2730.0,941770
2016-02-26,2840.0,2840.0,2730.0,2740.0,1862030
2016-02-29,2790.0,2880.0,2790.0,2880.0,941320
2016-03-01,2740.0,2790.0,2730.0,2790.0,964040
2016-03-02,2720.0,2760.0,2680.0,2750.0,1616220
2016-03-03,2700.0,2750.0,2700.0,2740.0,737360
2016-03-04,2750.0,2770.0,2690.0,2710.0,758830
2016-03-07,2780.0,2810.0,2750.0,2760.0,2201530
2016-03-08,2890.0,2930.0,2820.0,2820.0,6767430
2016-03-09,2850.0,2950.0,2850.0,2900.0,2672170
2016-03-10,2860.0,2870.0,2840.0,2870.0,1245540
2016-03-11,2880.0,2910.0,2850.0,2870.0,2144310
2016-03-14,3000.0,3020.0,2900.0,2910.0,3870560
2016-03-15,3000.0,3050.0,2970.0,3020.0,2696450
2016-03-16,2990.0,3020.0,2980.0,3020.0,1634300
2016-03-17,3000.0,3040.0,2990.0,3020.0,2100490
2016-03-18,2970.0,3010.0,2970.0,3010.0,2584200
2016-03-21,2980.0,3030.0,2980.0,2990.0,1512420
2016-03-22,2950.0,2990.0,2950.0,2990.0,1602960
2016-03-23,2930.0,2970.0,2910.0,2930.0,1576220
2016-03-24,2880.0,2960.0,2880.0,2920.0,1758820
2016-03-25,2900.0,2920.0,2870.0,2880.0,1704310
2016-03-28,2990.0,2990.0,2910.0,2910.0,1174990
2016-03-29,2980.0,3040.0,2980.0,3000.0,2044410
2016-03-30,2950.0,2990.0,2950.0,2970.0,1579390
2016-03-31,2950.0,3020.0,2940.0,2950.0,2460570
2016-04-01,2900.0,2960.0,2880.0,2950.0,1523320
2016-04-04,2920.0,2950.0,2890.0,2900.0,986480
2016-04-05,2930.0,2940.0,2910.0,2920.0,536800
2016-04-06,3020.0,3020.0,2930.0,2930.0,1954970
2016-04-07,3010.0,3070.0,3010.0,3040.0,2701300
2016-04-08,3080.0,3110.0,3000.0,3010.0,7079970
2016-04-11,3150.0,3170.0,3110.0,3110.0,5057970
2016-04-12,3170.0,3180.0,3140.0,3150.0,2850420
2016-04-13,3110.0,3170.0,3090.0,3170.0,3106110
2016-04-14,3140.0,3180.0,3110.0,3130.0,2142460
2016-04-15,3130.0,3190.0,3130.0,3160.0,2734540
2016-04-19,3090.0,3140.0,3090.0,3140.0,3047720
2016-04-20,3120.0,3150.0,3080.0,3110.0,2813360
2016-04-21,3150.0,3200.0,3140.0,3140.0,3670790
2016-04-22,3270.0,3280.0,3150.0,3160.0,4327260
2016-04-25,3300.0,3350.0,3290.0,3300.0,3046090
2016-04-26,3300.0,3340.0,3250.0,3280.0,3019430
2016-04-27,3270.0,3300.0,3240.0,3300.0,2321780
2016-04-28,3250.0,3280.0,3220.0,3260.0,1669040
2016-04-29,3350.0,3350.0,3240.0,3240.0,3455190
2016-05-04,3510.0,3550.0,3390.0,3400.0,6404100
2016-05-05,3510.0,3690.0,3460.0,3520.0,7908200
2016-05-06,3410.0,3500.0,3400.0,3470.0,4098640
2016-05-09,3400.0,3480.0,3400.0,3450.0,3455700
2016-05-10,3350.0,3410.0,3330.0,3350.0,4939730
2016-05-11,3460.0,3460.0,3400.0,3410.0,2497620
2016-05-12,3410.0,3480.0,3410.0,3480.0,1742800
2016-05-13,3330.0,3400.0,3310.0,3390.0,3860220
2016-05-16,3320.0,3330.0,3290.0,3320.0,2259110
2016-05-17,3360.0,3390.0,3330.0,3330.0,1339920
2016-05-18,3310.0,3370.0,3310.0,3370.0,1773380
2016-05-19,3320.0,3360.0,3300.0,3310.0,1726020
2016-05-20,3320.0,3330.0,3300.0,3320.0,1426750
2016-05-23,3370.0,3400.0,3310.0,3320.0,1149830
2016-05-24,3370.0,3420.0,3350.0,3360.0,1526440
2016-05-25,3370.0,3430.0,3360.0,3390.0,1842560
2016-05-26,3320.0,3390.0,3320.0,3360.0,1851110
2016-05-27,3330.0,3350.0,3300.0,3310.0,1594940
2016-05-30,3390.0,3410.0,3340.0,3340.0,3173180
2016-05-31,3390.0,3430.0,3370.0,3410.0,3495250
2016-06-01,3450.0,3500.0,3360.0,3390.0,5684250
2016-06-02,3530.0,3540.0,3430.0,3450.0,5218950
2016-06-03,3570.0,3600.0,3540.0,3570.0,6462490
2016-06-06,3550.0,3680.0,3540.0,3590.0,7411920
2016-06-07,3640.0,3640.0,3560.0,3560.0,3047640
2016-06-08,3700.0,3750.0,3660.0,3680.0,3724890
2016-06-09,3680.0,3730.0,3660.0,3710.0,2965630
2016-06-10,3710.0,3760.0,3680.0,3690.0,2439340
2016-06-13,3660.0,3700.0,3640.0,3700.0,2928110
2016-06-14,3800.0,3800.0,3630.0,3650.0,3443200
2016-06-15,3810.0,3880.0,3770.0,3800.0,2129160
2016-06-16,3820.0,3880.0,3810.0,3810.0,2814140
2016-06-17,3750.0,3840.0,3750.0,3800.0,5659440
2016-06-20,3850.0,3850.0,3780.0,3810.0,1648120
2016-06-21,3930.0,3980.0,3890.0,3890.0,3610830
2016-06-22,3970.0,4000.0,3910.0,3930.0,2285990
2016-06-23,4019.999999999999,4040.0,3960.0,3960.0,4020040
2016-06-24,3890.0,4010.0,3740.0,4000.0,12178690
2016-06-27,3910.0,3910.0,3780.0,3840.0,3206680
2016-06-28,3880.0,3940.0,3860.0,3870.0,1830580
2016-06-29,3940.0,3980.0,3880.0,3890.0,4457030
2016-06-30,3970.0,4040.0,3960.0,3990.0,3438530
2016-07-01,3990.0,4050.0,3980.0,3990.0,5658560
2016-07-04,4000.0,4030.000000000001,3980.0,4010.0,4158970
2016-07-05,4030.000000000001,4090.0,4019.999999999999,4040.0,4927570
2016-07-06,4110.0,4110.0,3990.0,4019.999999999999,4957280
2016-07-07,4290.0,4310.0,4160.0,4190.0,3680720
2016-07-08,4280.0,4330.0,4200.0,4310.0,5754320
2016-07-11,4059.999999999999,4300.0,4059.999999999999,4280.0,5163140
2016-07-12,4120.0,4150.0,4030.000000000001,4090.0,5547040
2016-07-13,4170.0,4210.0,4160.0,4160.0,3746150
2016-07-14,4030.000000000001,4190.0,4030.000000000001,4180.0,5141750
2016-07-15,4070.000000000001,4080.0,3940.0,4019.999999999999,3726150
2016-07-18,4240.0,4290.0,4059.999999999999,4070.000000000001,5985260
2016-07-19,4210.0,4310.0,4110.0,4310.0,4442630
2016-07-20,4120.0,4230.0,4120.0,4210.0,2728420
2016-07-21,4130.0,4190.0,4110.0,4130.0,2884960
2016-07-22,4030.000000000001,4110.0,3910.0,4110.0,5190610
2016-07-25,4100.0,4140.0,4019.999999999999,4070.000000000001,3766690
2016-07-26,4240.0,4240.0,4080.0,4100.0,4989480
2016-07-27,4330.0,4350.0,4250.0,4320.0,7309600
2016-07-28,4470.0,4490.0,4340.0,4340.0,5902350
2016-07-29,4460.0,4490.0,4410.0,4470.0,6189170
2016-08-01,4420.0,4470.0,4360.0,4470.0,4652710
2016-08-02,4280.0,4390.0,4280.0,4370.0,6370060
2016-08-03,4330.0,4330.0,4250.0,4270.0,3050500
2016-08-04,4270.0,4380.0,4270.0,4370.0,3081510
2016-08-05,4320.0,4320.0,4230.0,4260.0,4794470
2016-08-08,4290.0,4360.0,4280.0,4330.0,1978940
2016-08-09,4340.0,4340.0,4280.0,4290.0,2351520
2016-08-10,4540.0,4610.0,4360.0,4360.0,5703740
2016-08-11,4610.0,4630.0,4540.0,4550.0,3931110
2016-08-12,4590.0,4730.0,4580.0,4710.0,4563390
2016-08-15,4640.0,4640.0,4570.0,4580.0,4573000
2016-08-16,4710.0,4770.0,4660.0,4680.0,3597400
2016-08-17,4870.0,4910.0,4720.0,4720.0,4700970
2016-08-18,4890.0,4980.0,4870.0,4930.0,4116040
2016-08-19,4830.0,4930.0,4830.0,4900.0,3656710
2016-08-22,4860.0,4880.0,4810.0,4830.0,2748960
2016-08-23,4940.0,4940.0,4850.0,4850.0,3521490
2016-08-24,4910.0,5060.0,4900.0,4980.0,5811280
2016-08-25,5110.0,5110.0,5010.0,5050.0,5867250
2016-08-26,5060.0,5120.0,5050.0,5110.0,2303950
2016-08-29,4930.0,5070.0,4930.0,5050.0,4916380
2016-08-30,4980.0,4990.0,4860.0,4900.0,3069560
2016-08-31,5090.0,5100.0,5010.0,5030.0,3023220
2016-09-01,5040.0,5090.0,5010.0,5090.0,2283700
2016-09-05,4990.0,5070.0,4980.0,5060.0,3626000
2016-09-06,5030.0,5070.0,5000.0,5010.0,3353490
2016-09-07,5230.0,5230.0,4980.0,5030.0,4529030
2016-09-08,5330.0,5370.0,5180.0,5230.0,5541710
2016-09-09,5260.0,5350.0,5240.0,5330.0,2978500
2016-09-12,5110.0,5220.0,5100.0,5210.0,3209760
2016-09-13,5190.0,5240.0,5110.0,5110.0,3410530
2016-09-14,5180.0,5220.0,5150.0,5150.0,1433230
2016-09-15,5250.0,5290.0,5160.0,5160.0,3018930
2016-09-16,5290.0,5310.0,5230.0,5250.0,9026300
2016-09-19,5420.0,5460.0,5330.0,5360.0,4311630
2016-09-20,5400.0,5430.0,5340.0,5380.0,3028200
2016-09-21,5420.0,5490.0,5350.0,5390.0,2996420
2016-09-22,5490.0,5550.0,5430.0,5480.0,4309820
2016-09-23,5450.0,5510.0,5450.0,5490.0,3065270
2016-09-26,5460.0,5500.0,5360.0,5430.0,2874560
2016-09-27,5500.0,5510.0,5440.0,5450.0,3471140
2016-09-28,5550.0,5580.0,5500.0,5530.0,3327970
2016-09-29,5510.0,5580.0,5490.0,5550.0,3445480
2016-09-30,5430.0,5530.0,5420.0,5470.0,7055060
2016-10-03,5290.0,5470.0,5290.0,5430.0,6696480
2016-10-04,5220.0,5320.0,5120.0,5250.0,12594180
2016-10-05,5180.0,5250.0,5170.0,5230.0,4993350
2016-10-06,5100.0,5190.0,5060.0,5170.0,5642520
2016-10-07,4880.0,5140.0,4810.0,5100.0,12092340
2016-10-10,4660.0,4880.0,4660.0,4870.0,5932030
2016-10-11,4980.0,4980.0,4670.0,4690.0,8816090
2016-10-12,4850.0,5060.0,4820.0,5010.0,6287140
2016-10-13,4910.0,4940.0,4720.0,4780.0,4735200
2016-10-14,4800.0,4950.0,4800.0,4870.0,4372760
2016-10-17,4730.0,4850.0,4730.0,4780.0,2726800
2016-10-18,4840.0,4840.0,4710.0,4710.0,3936870
2016-10-19,4900.0,4980.0,4840.0,4870.0,3624200
2016-10-20,4890.0,4940.0,4860.0,4930.0,1596170
2016-10-21,4870.0,4920.0,4860.0,4880.0,2218550
2016-10-24,4780.0,4900.0,4780.0,4870.0,2876450
2016-10-25,4710.0,4790.0,4660.0,4780.0,3373480
2016-10-26,4700.0,4750.0,4640.0,4710.0,2550830
2016-10-27,4700.0,4720.0,4660.0,4720.0,1633800
2016-10-28,4850.0,4880.0,4700.0,4700.0,3415950
2016-10-31,4840.0,4880.0,4780.0,4880.0,2216260
2016-11-01,4800.0,4890.0,4800.0,4810.0,1519710
2016-11-02,4690.0,4800.0,4690.0,4800.0,2809280
2016-11-03,4670.0,4690.0,4620.0,4690.0,3416740
2016-11-04,4710.0,4730.0,4680.0,4690.0,1521270
2016-11-07,4880.0,4900.0,4720.0,4750.0,4122990
2016-11-08,4930.0,4970.0,4900.0,4910.0,4669020
2016-11-09,4870.0,4930.0,4690.0,4930.0,9411610
2016-11-10,4930.0,4970.0,4930.0,4970.0,3802720
2016-11-11,4870.0,4920.0,4850.0,4900.0,3408550
2016-11-14,4900.0,4920.0,4840.0,4850.0,3990070
2016-11-15,4990.0,5030.0,4900.0,4900.0,4588760
2016-11-16,5000.0,5070.0,4980.0,4990.0,4225640
2016-11-17,4970.0,5040.0,4950.0,4990.0,3054490
2016-11-18,4910.0,5000.0,4900.0,4950.0,3101710
2016-11-21,4990.0,4990.0,4880.0,4920.0,3303700
2016-11-22,4980.0,5040.0,4970.0,5040.0,3014150
2016-11-23,4950.0,5030.0,4940.0,4980.0,2206150
2016-11-24,4950.0,5020.0,4940.0,4970.0,2522970
2016-11-25,4960.0,5010.0,4940.0,4990.0,3239970
2016-11-28,4840.0,4960.0,4810.0,4950.0,3054300
2016-11-29,4790.0,4860.0,4780.0,4850.0,2916960
2016-11-30,5000.0,5050.0,4780.0,4780.0,6140310
2016-12-01,4960.0,5050.0,4960.0,5030.0,4391230
2016-12-02,5010.0,5030.0,4970.0,4980.0,4769370
2016-12-05,5040.0,5120.0,5010.0,5030.0,6102780
2016-12-06,4860.0,5060.0,4820.0,5050.0,4956320
2016-12-07,4850.0,4920.0,4850.0,4860.0,2987910
2016-12-08,4860.0,4920.0,4850.0,4870.0,1912140
2016-12-09,4860.0,4910.0,4850.0,4860.0,2565360
2016-12-12,4840.0,4860.0,4810.0,4850.0,2412750
2016-12-13,4820.0,4850.0,4790.0,4840.0,2687280
2016-12-14,4950.0,4970.0,4820.0,4820.0,2633270
2016-12-15,4910.0,4950.0,4880.0,4940.0,1830580
2016-12-16,4970.0,5000.0,4900.0,4900.0,3688380
2016-12-19,4930.0,5010.0,4910.0,4980.0,2430260
2016-12-20,4910.0,4960.0,4900.0,4930.0,1312730
2016-12-21,4980.0,5010.0,4920.0,4930.0,2405340
2016-12-22,5050.0,5130.0,4990.0,5000.0,6126040
