Date,Close,High,Low,Open,Volume
2007-04-11,66132.7734375,66132.7734375,66132.7734375,66132.7734375,58953
2007-04-12,66818.0859375,66818.0859375,66818.0859375,66818.0859375,89528
2007-04-13,67503.3984375,67503.3984375,67503.3984375,67503.3984375,151981
2007-04-16,64419.4921875,64419.4921875,64419.4921875,64419.4921875,142141
2007-04-17,61335.578125,61335.578125,61335.578125,61335.578125,49776
2007-04-18,64076.83984375,64076.83984375,64076.83984375,64076.83984375,25604
2007-04-19,66818.0859375,66818.0859375,66818.0859375,66818.0859375,136653
2007-04-20,63734.1796875,63734.1796875,63734.1796875,63734.1796875,49166
2007-04-23,60650.265625,60650.265625,60650.265625,60650.265625,166617
2007-04-24,59279.63671875,59279.63671875,59279.63671875,59279.63671875,92272
2007-04-25,59279.63671875,59279.63671875,59279.63671875,59279.63671875,66576
2007-05-02,62020.8984375,62020.8984375,62020.8984375,62020.8984375,204373
2007-05-03,54139.78515625,54139.78515625,54139.78515625,54139.78515625,241211
2007-05-04,56538.3828125,56538.3828125,56538.3828125,56538.3828125,263664
2007-05-07,59279.63671875,59279.63671875,59279.63671875,59279.63671875,205925
2007-05-08,61678.23828125,61678.23828125,61678.23828125,61678.23828125,322098
2007-05-09,61678.23828125,61678.23828125,61678.23828125,61678.23828125,273589
2007-05-10,64419.4921875,64419.4921875,64419.4921875,64419.4921875,310123
2007-05-11,63734.1796875,63734.1796875,63734.1796875,63734.1796875,142363
2007-05-14,66818.0859375,66818.0859375,66818.0859375,66818.0859375,172022
2007-05-15,69901.9921875,69901.9921875,69901.9921875,69901.9921875,260866
2007-05-16,70244.65625,70244.65625,70244.65625,70244.65625,132189
2007-05-17,69901.9921875,69901.9921875,69901.9921875,69901.9921875,203457
2007-05-18,70244.65625,70244.65625,70244.65625,70244.65625,68738
2007-05-21,73671.2265625,73671.2265625,73671.2265625,73671.2265625,138426
2007-05-22,77097.7890625,77097.7890625,77097.7890625,77097.7890625,77914
2007-05-23,80867.015625,80867.015625,80867.015625,80867.015625,154143
2007-05-24,77097.7890625,77097.7890625,77097.7890625,77097.7890625,147741
2007-05-25,77097.7890625,77097.7890625,77097.7890625,77097.7890625,109763
2007-05-28,77097.7890625,77097.7890625,77097.7890625,77097.7890625,201379
2007-05-29,80867.015625,80867.015625,80867.015625,80867.015625,157108
2007-05-30,77097.7890625,77097.7890625,77097.7890625,77097.7890625,28210
2007-05-31,78811.078125,78811.078125,78811.078125,78811.078125,91302
2007-06-01,80524.3671875,80524.3671875,80524.3671875,80524.3671875,122432
2007-06-04,80524.3671875,80524.3671875,80524.3671875,80524.3671875,64885
2007-06-05,80524.3671875,80524.3671875,80524.3671875,80524.3671875,68017
2007-06-06,77097.7890625,77097.7890625,77097.7890625,77097.7890625,83540
2007-06-07,80524.3671875,80524.3671875,80524.3671875,80524.3671875,110346
2007-06-08,80524.3671875,80524.3671875,80524.3671875,80524.3671875,53187
2007-06-11,80524.3671875,80524.3671875,80524.3671875,80524.3671875,44816
2007-06-12,80181.703125,80181.703125,80181.703125,80181.703125,82238
2007-06-13,80181.703125,80181.703125,80181.703125,80181.703125,83402
2007-06-14,80524.3671875,80524.3671875,80524.3671875,80524.3671875,102390
2007-06-15,80867.015625,80867.015625,80867.015625,80867.015625,252466
2007-06-18,80867.015625,80867.015625,80867.015625,80867.015625,130194
2007-06-19,82237.6484375,82237.6484375,82237.6484375,82237.6484375,149182
2007-06-20,80867.015625,80867.015625,80867.015625,80867.015625,153701
2007-06-21,80524.3671875,80524.3671875,80524.3671875,80524.3671875,99452
2007-06-22,84293.59375,84293.59375,84293.59375,84293.59375,243706
2007-06-25,82580.3046875,82580.3046875,82580.3046875,82580.3046875,31758
2007-06-26,84978.90625,84978.90625,84978.90625,84978.90625,30760
2007-06-27,80867.015625,80867.015625,80867.015625,80867.015625,94989
2007-06-28,78125.765625,78125.765625,78125.765625,78125.765625,205120
2007-06-29,80867.015625,80867.015625,80867.015625,80867.015625,100395
2007-07-02,78811.078125,78811.078125,78811.078125,78811.078125,81684
2007-07-03,76755.140625,76755.140625,76755.140625,76755.140625,125093
2007-07-04,79839.0546875,79839.0546875,79839.0546875,79839.0546875,127117
2007-07-05,80867.015625,80867.015625,80867.015625,80867.015625,165424
2007-07-06,80181.703125,80181.703125,80181.703125,80181.703125,144719
2007-07-09,82237.6484375,82237.6484375,82237.6484375,82237.6484375,181447
2007-07-10,80524.3671875,80524.3671875,80524.3671875,80524.3671875,168696
2007-07-11,81552.3359375,81552.3359375,81552.3359375,81552.3359375,157331
2007-07-12,83608.2734375,83608.2734375,83608.2734375,83608.2734375,145551
2007-07-13,83608.2734375,83608.2734375,83608.2734375,83608.2734375,157275
2007-07-16,81552.3359375,81552.3359375,81552.3359375,81552.3359375,111815
2007-07-17,82237.6484375,82237.6484375,82237.6484375,82237.6484375,32035
2007-07-18,80867.015625,80867.015625,80867.015625,80867.015625,31814
2007-07-19,79496.390625,79496.390625,79496.390625,79496.390625,95599
2007-07-20,80524.3671875,80524.3671875,80524.3671875,78468.43082365672,37498
2007-07-23,82237.6484375,82237.6484375,82237.6484375,82237.6484375,164731
2007-07-24,82237.6484375,82237.6484375,82237.6484375,82237.6484375,77387
2007-07-25,82237.6484375,82237.6484375,82237.6484375,82237.6484375,126701
2007-07-26,81552.3359375,81552.3359375,81552.3359375,81552.3359375,49306
2007-07-27,78811.078125,78811.078125,78811.078125,78811.078125,143831
2007-07-30,75041.8515625,75041.8515625,75041.8515625,75041.8515625,85315
2007-07-31,78468.4296875,78468.4296875,78468.4296875,78468.4296875,91884
2007-08-01,77097.7890625,77097.7890625,77097.7890625,77097.7890625,146410
2007-08-02,80867.015625,80867.015625,80867.015625,80867.015625,72425
