Date,Close,High,Low,Open,Volume
2015-09-28,2840.0,2900.0,2820.0,2880.0,1307150
2015-09-29,2840.0,2840.0,2780.0,2800.0,2167970
2015-09-30,2840.0,2880.0,2840.0,2860.0,1035490
2015-10-01,2880.0,2920.0,2860.0,2900.0,2619760
2015-10-02,2860.0,2900.0,2860.0,2900.0,1032200
2015-10-05,2880.0,2920.0,2860.0,2880.0,2541890
2015-10-06,2930.0,2950.0,2900.0,2900.0,3536140
2015-10-07,2920.0,2950.0,2920.0,2950.0,1786280
2015-10-08,2860.0,2900.0,2840.0,2880.0,9337620
2015-10-09,2820.0,2880.0,2820.0,2860.0,2824500
2015-10-12,2800.0,2840.0,2780.0,2800.0,2679050
2015-10-13,2800.0,2820.0,2780.0,2780.0,1590810
2015-10-14,2780.0,2820.0,2780.0,2800.0,1437730
2015-10-15,2780.0,2800.0,2740.0,2780.0,2858560
2015-10-16,2780.0,2800.0,2760.0,2760.0,2432880
2015-10-19,2760.0,2780.0,2760.0,2760.0,1423060
2015-10-20,2730.0,2760.0,2730.0,2760.0,1762510
2015-10-21,2690.0,2730.0,2670.0,2730.0,2075190
2015-10-22,2710.0,2730.0,2690.0,2690.0,1411620
2015-10-23,2730.0,2740.0,2710.0,2710.0,736810
2015-10-26,2690.0,2730.0,2690.0,2710.0,1303210
2015-10-27,2670.0,2710.0,2650.0,2690.0,1501170
2015-10-28,2650.0,2690.0,2650.0,2670.0,784850
2015-10-29,2650.0,2670.0,2630.0,2650.0,1213650
2015-10-30,2730.0,2740.0,2670.0,2670.0,2162260
2015-11-02,2730.0,2760.0,2710.0,2740.0,1288050
2015-11-03,2730.0,2740.0,2690.0,2730.0,1352090
2015-11-04,2690.0,2760.0,2690.0,2730.0,1370210
2015-11-05,2690.0,2730.0,2690.0,2690.0,675030
2015-11-06,2690.0,2710.0,2670.0,2690.0,669700
2015-11-09,2740.0,2740.0,2690.0,2690.0,1673120
2015-11-10,2710.0,2740.0,2710.0,2730.0,1140750
2015-11-11,2730.0,2740.0,2710.0,2710.0,1822830
2015-11-12,2760.0,2760.0,2730.0,2730.0,3101940
2015-11-13,2820.0,2840.0,2760.0,2760.0,4236680
2015-11-16,2800.0,2820.0,2780.0,2800.0,1992040
2015-11-17,2760.0,2800.0,2760.0,2780.0,1190090
2015-11-18,2800.0,2800.0,2740.0,2740.0,1379800
2015-11-19,2780.0,2800.0,2760.0,2800.0,1132620
2015-11-20,2760.0,2800.0,2760.0,2760.0,1155950
2015-11-23,2760.0,2780.0,2740.0,2760.0,1210690
2015-11-24,2730.0,2760.0,2710.0,2760.0,708920
2015-11-25,2730.0,2740.0,2710.0,2730.0,766440
2015-11-26,2730.0,2740.0,2710.0,2730.0,624860
2015-11-27,2710.0,2740.0,2710.0,2730.0,1400280
2015-11-30,2670.0,2710.0,2670.0,2710.0,1122050
2015-12-01,2690.0,2710.0,2670.0,2690.0,691030
2015-12-02,2710.0,2710.0,2690.0,2690.0,301570
2015-12-03,2710.0,2710.0,2690.0,2710.0,105650
2015-12-04,2690.0,2710.0,2670.0,2690.0,663540
2015-12-07,2670.0,2690.0,2650.0,2670.0,377080
2015-12-08,2670.0,2670.0,2630.0,2670.0,1294930
2015-12-09,2650.0,2690.0,2650.0,2670.0,864210
2015-12-10,2650.0,2670.0,2630.0,2650.0,351980
2015-12-11,2650.0,2670.0,2630.0,2630.0,438700
2015-12-14,2690.0,2690.0,2650.0,2650.0,624120
2015-12-15,2670.0,2690.0,2650.0,2690.0,355420
2015-12-16,2670.0,2710.0,2650.0,2650.0,287090
2015-12-17,2690.0,2710.0,2670.0,2690.0,747840
2015-12-18,2670.0,2690.0,2670.0,2690.0,328350
2015-12-21,2650.0,2690.0,2650.0,2670.0,789650
