Date,Close,High,Low,Open,Volume
2015-09-28,6880.0,6940.0,6820.0,6880.0,25880
2015-09-29,6770.0,6820.0,6770.0,6770.0,12490
2015-09-30,6820.0,6940.0,6770.0,6820.0,35050
2015-10-01,6880.0,6880.0,6770.0,6820.0,18210
2015-10-02,6940.0,6940.0,6820.0,6880.0,25160
2015-10-05,6990.0,6990.0,6820.0,6880.0,56170
2015-10-06,7270.0,7380.0,7050.0,7050.0,132300
2015-10-07,7380.0,7550.0,7330.0,7380.0,132400
2015-10-08,7830.0,7890.0,7490.0,7490.0,180880
2015-10-09,7610.0,7830.0,7490.0,7830.0,100870
2015-10-12,7440.0,7660.0,7380.0,7610.0,115070
2015-10-13,7490.0,7770.0,7330.0,7380.0,137020
2015-10-14,7550.0,7720.0,7490.0,7490.0,65500
2015-10-15,7660.0,7720.0,7550.0,7550.0,154090
2015-10-16,7830.0,8000.0,7610.0,7660.0,283290
2015-10-19,7890.0,7940.0,7770.0,7940.0,86440
2015-10-20,7720.0,7890.0,7660.0,7890.0,111340
2015-10-21,7490.0,7720.0,7490.0,7720.0,122980
2015-10-22,7610.0,7660.0,7440.0,7440.0,83430
2015-10-23,7610.0,7720.0,7550.0,7550.0,57590
2015-10-26,7610.0,7720.0,7550.0,7660.0,72600
2015-10-27,7550.0,7610.0,7490.0,7550.0,53190
2015-10-28,7610.0,7610.0,7490.0,7490.0,58040
2015-10-29,8109.999999999999,8109.999999999999,7660.0,7660.0,581760
2015-10-30,8280.0,8390.0,8170.0,8170.0,359290
2015-11-02,8170.0,8280.0,8050.000000000001,8280.0,203870
2015-11-03,8220.0,8220.0,7940.0,8109.999999999999,244920
2015-11-04,8170.0,8280.0,8170.0,8220.0,134640
2015-11-05,8390.0,8500.0,8050.000000000001,8170.0,207670
2015-11-06,8170.0,8330.0,8109.999999999999,8330.0,121410
2015-11-09,8280.0,8390.0,8050.000000000001,8220.0,205020
2015-11-10,8220.0,8280.0,8109.999999999999,8220.0,174100
2015-11-11,8280.0,8280.0,8170.0,8220.0,69900
2015-11-12,8500.0,8500.0,8280.0,8280.0,459340
2015-11-13,8730.0,8840.0,8500.0,8500.0,290520
2015-11-16,8890.0,8950.0,8610.0,8670.0,340740
2015-11-17,8730.0,8950.0,8670.0,8890.0,310040
2015-11-18,8780.0,8780.0,8610.0,8670.0,70270
2015-11-19,8730.0,8780.0,8670.0,8780.0,113010
2015-11-20,8840.0,8890.0,8730.0,8730.0,211960
2015-11-23,9060.0,9120.0,8950.0,9000.0,224070
2015-11-24,9170.0,9280.0,9000.0,9060.0,264330
2015-11-25,9230.0,9280.0,8950.0,9170.0,163740
2015-11-26,9060.0,9280.0,9060.0,9280.0,199810
2015-11-27,8670.0,9120.0,8610.0,9060.0,383380
2015-11-30,8390.0,8670.0,8330.0,8610.0,198970
2015-12-01,8450.0,8610.0,8330.0,8390.0,57370
2015-12-02,8560.0,8610.0,8390.0,8390.0,42420
2015-12-03,8500.0,8610.0,8450.0,8500.0,35740
2015-12-04,8500.0,8560.0,8280.0,8390.0,125740
2015-12-07,8450.0,8500.0,8390.0,8500.0,48280
2015-12-08,8610.0,8730.0,8280.0,8390.0,111010
2015-12-09,8390.0,8610.0,8330.0,8500.0,99560
2015-12-10,8280.0,8500.0,8280.0,8450.0,51590
2015-12-11,8450.0,8450.0,8220.0,8280.0,45980
2015-12-14,8500.0,8500.0,8330.0,8390.0,53090
2015-12-15,8560.0,8560.0,8450.0,8500.0,100200
2015-12-16,8780.0,8890.0,8560.0,8610.0,304540
2015-12-17,8840.0,8840.0,8730.0,8780.0,305780
2015-12-18,8780.0,8840.0,8780.0,8780.0,86030
2015-12-21,8840.0,8840.0,8670.0,8730.0,93740
2015-12-22,8730.0,8840.0,8610.0,8780.0,236520
2015-12-23,8780.0,8840.0,8670.0,8670.0,182850
2015-12-24,8840.0,8840.0,8730.0,8780.0,57330
2015-12-25,8670.0,8840.0,8670.0,8840.0,51660
2015-12-28,8890.0,8950.0,8610.0,8670.0,316120
2015-12-29,8890.0,8950.0,8840.0,8840.0,109910
2015-12-30,9060.0,9060.0,8890.0,8890.0,264060
