Date,Close,High,Low,Open,Volume
2009-04-17,1670.0,1710.0,1570.0,1710.0,386110
2009-04-20,1590.0,1590.0,1590.0,1590.0,44970
2009-04-21,1520.0,1540.0,1520.0,1540.0,18580
2009-04-22,1470.0,1540.0,1470.0,1540.0,275960
2009-04-23,1400.0,1470.0,1400.0,1400.0,171580
2009-04-24,1340.0,1390.0,1340.0,1360.0,233190
2009-04-27,1360.0,1380.0,1310.0,1320.0,124570
2009-04-28,1350.0,1390.0,1310.0,1310.0,59440
2009-04-29,1380.0,1380.0,1320.0,1320.0,55040
2009-05-04,1440.0,1440.0,1440.0,1440.0,8460
2009-05-05,1500.0,1500.0,1500.0,1500.0,45020
2009-05-06,1440.0,1500.0,1440.0,1500.0,128520
2009-05-07,1500.0,1500.0,1440.0,1490.0,244170
2009-05-08,1490.0,1520.0,1450.0,1450.0,123290
2009-05-11,1450.0,1490.0,1440.0,1450.0,130080
2009-05-12,1520.0,1520.0,1410.0,1410.0,194350
2009-05-13,1580.0,1580.0,1520.0,1540.0,304310
2009-05-14,1660.0,1660.0,1540.0,1570.0,261010
2009-05-15,1730.0,1730.0,1660.0,1710.0,365410
2009-05-18,1680.0,1730.0,1660.0,1730.0,173130
2009-05-19,1750.0,1760.0,1680.0,1760.0,315550
2009-05-20,1820.0,1820.0,1750.0,1750.0,520840
2009-05-21,1910.0,1910.0,1860.0,1910.0,310900
2009-05-22,1820.0,1940.0,1820.0,1930.0,310640
2009-05-25,1910.0,1910.0,1860.0,1880.0,226750
2009-05-26,2000.0,2000.0,1930.0,2000.0,422660
2009-05-27,1910.0,2040.0,1910.0,2030.0,318310
2009-05-28,1820.0,1860.0,1820.0,1820.0,107150
2009-05-29,1820.0,1910.0,1760.0,1770.0,237050
2009-06-01,1910.0,1910.0,1880.0,1880.0,167980
2009-06-02,2000.0,2000.0,2000.0,2000.0,81900
2009-06-03,2090.0,2090.0,2030.0,2090.0,674160
2009-06-04,2200.0,2200.0,2200.0,2200.0,59150
2009-06-05,2300.0,2300.0,2300.0,2300.0,85250
2009-06-08,2400.0,2400.0,2400.0,2400.0,126180
2009-06-09,2520.0,2510.0,2380.0,2480.0,656580
2009-06-10,2400.0,2440.0,2440.0,2440.0,389770
2009-06-11,2520.0,2510.0,2470.0,2510.0,165760
2009-06-12,2630.0,2630.0,2630.0,2630.0,142110
2009-06-15,2510.0,2600.0,2510.0,2510.0,263450
2009-06-16,2390.0,2390.0,2390.0,2390.0,19410
2009-06-17,2510.0,2510.0,2270.0,2270.0,284430
2009-06-18,2420.0,2570.0,2400.0,2570.0,117770
2009-06-19,2300.0,2400.0,2300.0,2350.0,174840
2009-06-22,2200.0,2200.0,2200.0,2200.0,41120
2009-06-23,2090.0,2090.0,2090.0,2090.0,22240
2009-06-24,2200.0,2200.0,2070.0,2070.0,206340
2009-06-25,2110.0,2260.0,2110.0,2260.0,114000
2009-06-26,2210.0,2210.0,2060.0,2070.0,385710
2009-06-29,2110.0,2180.0,2110.0,2110.0,134220
2009-06-30,2000.0,2110.0,2000.0,2070.0,122690
2009-07-01,1910.0,1980.0,1910.0,1910.0,94060
2009-07-02,1990.0,1990.0,1850.0,1910.0,57850
2009-07-03,2030.0,2040.0,1900.0,1930.0,100070
2009-07-06,2120.0,2120.0,2030.0,2030.0,112600
2009-07-07,2120.0,2170.0,2030.0,2080.0,55670
2009-07-08,2040.0,2110.0,2040.0,2040.0,27880
2009-07-09,2060.0,2080.0,2030.0,2040.0,21130
2009-07-10,2030.0,2030.0,1950.0,2030.0,45810
2009-07-13,1940.0,1990.0,1940.0,1970.0,39600
2009-07-14,1930.0,1990.0,1880.0,1880.0,41860
2009-07-15,2000.0,2020.0,1980.0,2000.0,49060
2009-07-16,2040.0,2070.0,2000.0,2070.0,39340
2009-07-17,1990.0,2040.0,1990.0,2040.0,39740
2009-07-20,1900.0,1930.0,1900.0,1930.0,39430
2009-07-21,1930.0,1930.0,1890.0,1900.0,55300
2009-07-22,2020.0,2020.0,2020.0,2020.0,49060
2009-07-23,2110.0,2110.0,2060.0,2110.0,226650
2009-07-24,2210.0,2210.0,2210.0,2210.0,45360
2009-07-27,2310.0,2310.0,2310.0,2310.0,132490
2009-07-28,2270.0,2380.0,2260.0,2310.0,235960
2009-07-29,2200.0,2300.0,2200.0,2270.0,114890
2009-07-30,2180.0,2180.0,2090.0,2180.0,106440
2009-07-31,2220.0,2250.0,2200.0,2240.0,157010
2009-08-03,2200.0,2250.0,2170.0,2170.0,69740
2009-08-04,2240.0,2250.0,2200.0,2250.0,108750
2009-08-05,2220.0,2250.0,2210.0,2210.0,105340
2009-08-06,2250.0,2270.0,2200.0,2220.0,152070
2009-08-07,2350.0,2350.0,2310.0,2350.0,293260
2009-08-10,2470.0,2470.0,2380.0,2420.0,222560
2009-08-11,2420.0,2470.0,2390.0,2450.0,135200
2009-08-12,2380.0,2440.0,2380.0,2420.0,179080
2009-08-13,2400.0,2440.0,2380.0,2430.0,251060
2009-08-14,2180.0,2240.0,2160.0,2170.0,200030
2009-08-17,2250.0,2290.0,2130.0,2130.0,146870
2009-08-18,2260.0,2270.0,2250.0,2270.0,51020
2009-08-19,2360.0,2360.0,2360.0,2360.0,60460
2009-08-20,2480.0,2480.0,2480.0,2480.0,128480
2009-08-21,2600.0,2600.0,2490.0,2600.0,847700
2009-08-24,2600.0,2650.0,2600.0,2600.0,311230
2009-08-25,2530.0,2600.0,2480.0,2510.0,183190
2009-08-26,2580.0,2650.0,2530.0,2530.0,306650
2009-08-27,2710.0,2710.0,2620.0,2630.0,460500
2009-08-28,2840.0,2840.0,2840.0,2840.0,112760
2009-08-31,2980.0,2980.0,2980.0,2980.0,23220
2009-09-01,3120.0,3120.0,3060.0,3120.0,952430
2009-09-03,3280.0,3280.0,3280.0,3280.0,230810
2009-09-04,3150.0,3430.0,3150.0,3150.0,1205520
2009-09-07,3290.0,3290.0,3020.0,3290.0,530940
2009-09-08,3440.0,3440.0,3320.0,3440.0,664960
2009-09-09,3430.0,3570.0,3410.0,3430.0,363750
2009-09-10,3380.0,3470.0,3340.0,3380.0,236420
2009-09-11,3290.0,3390.0,3290.0,3370.0,428860
2009-09-14,3210.0,3340.0,3210.0,3230.0,262430
2009-09-15,3160.0,3210.0,3070.0,3210.0,340120
2009-09-16,3140.0,3160.0,3110.0,3110.0,203880
2009-09-17,3160.0,3240.0,3140.0,3210.0,220830
2009-09-18,3210.0,3230.0,3160.0,3160.0,282530
2009-09-21,3100.0,3280.0,3100.0,3150.0,299680
2009-09-22,3250.0,3250.0,3100.0,3100.0,175590
2009-09-23,3410.0,3410.0,3410.0,3410.0,44900
2009-09-24,3280.0,3410.0,3250.0,3410.0,544740
2009-09-25,3280.0,3300.0,3140.0,3280.0,254580
2009-09-28,3240.0,3320.0,3230.0,3280.0,200080
2009-09-29,3390.0,3390.0,3240.0,3340.0,742810
2009-09-30,3290.0,3420.0,3290.0,3420.0,360960
2009-10-01,3440.0,3440.0,3280.0,3290.0,866810
2009-10-02,3390.0,3410.0,3280.0,3340.0,221330
2009-10-05,3330.0,3470.0,3230.0,3470.0,135040
2009-10-06,3250.0,3350.0,3250.0,3340.0,165730
2009-10-07,3330.0,3340.0,3250.0,3250.0,178690
2009-10-08,3290.0,3330.0,3240.0,3330.0,177380
2009-10-09,3440.0,3440.0,3340.0,3410.0,443300
2009-10-12,3610.0,3610.0,3570.0,3610.0,466610
2009-10-13,3790.0,3790.0,3640.0,3790.0,860610
2009-10-14,3970.0,3970.0,3700.0,3750.0,420540
2009-10-15,3860.0,4090.0,3830.0,4090.0,403850
2009-10-16,3680.0,3860.0,3680.0,3730.0,392640
2009-10-19,3710.0,3710.0,3600.0,3620.0,273520
2009-10-20,3730.0,3860.0,3730.0,3860.0,346760
2009-10-21,3660.0,3770.0,3640.0,3690.0,335030
2009-10-22,3640.0,3660.0,3600.0,3660.0,271690
2009-10-23,3680.0,3820.0,3610.0,3680.0,660490
2009-10-26,3830.0,3860.0,3680.0,3680.0,451120
2009-10-27,3660.0,3750.0,3650.0,3730.0,204390
2009-10-28,3600.0,3710.0,3560.0,3690.0,212400
2009-10-29,3420.0,3470.0,3420.0,3430.0,177960
2009-10-30,3590.0,3590.0,3350.0,3500.0,282620
2009-11-02,3420.0,3470.0,3420.0,3420.0,91740
2009-11-03,3250.0,3410.0,3250.0,3370.0,76840
2009-11-04,3100.0,3330.0,3100.0,3110.0,337610
2009-11-05,3210.0,3250.0,3080.0,3100.0,143650
2009-11-06,3110.0,3280.0,3110.0,3280.0,185240
2009-11-09,2960.0,3020.0,2960.0,3020.0,103850
2009-11-10,2810.0,2940.0,2810.0,2890.0,167790
2009-11-11,2940.0,2940.0,2760.0,2760.0,76590
2009-11-12,3080.0,3080.0,2940.0,2960.0,146540
2009-11-13,3240.0,3240.0,3080.0,3080.0,360820
2009-11-16,3370.0,3390.0,3160.0,3240.0,340150
2009-11-17,3340.0,3370.0,3240.0,3370.0,173370
2009-11-18,3320.0,3340.0,3230.0,3280.0,177550
2009-11-19,3210.0,3340.0,3210.0,3320.0,319190
2009-11-20,3370.0,3370.0,3210.0,3370.0,615710
2009-11-23,3200.0,3370.0,3200.0,3370.0,218500
2009-11-24,3080.0,3210.0,3060.0,3140.0,203770
2009-11-25,2930.0,3050.0,2930.0,3020.0,342350
2009-11-26,2790.0,2800.0,2790.0,2790.0,144070
2009-11-27,2720.0,2920.0,2660.0,2660.0,329790
2009-11-30,2840.0,2850.0,2760.0,2810.0,171220
2009-12-01,2960.0,2960.0,2890.0,2930.0,107960
2009-12-02,2810.0,2960.0,2810.0,2850.0,100540
2009-12-03,2750.0,2880.0,2690.0,2810.0,94450
2009-12-04,2760.0,2810.0,2720.0,2810.0,21110
2009-12-07,2630.0,2840.0,2630.0,2840.0,49940
2009-12-08,2670.0,2720.0,2610.0,2720.0,138710
2009-12-09,2540.0,2620.0,2540.0,2600.0,181800
2009-12-10,2430.0,2630.0,2430.0,2630.0,90930
2009-12-11,2310.0,2360.0,2310.0,2360.0,61640
2009-12-14,2380.0,2430.0,2270.0,2310.0,115430
2009-12-15,2310.0,2400.0,2310.0,2390.0,57280
2009-12-16,2200.0,2250.0,2200.0,2250.0,83510
2009-12-17,2090.0,2120.0,2090.0,2110.0,202560
