Date,Close,High,Low,Open,Volume
2009-04-17,6530.0,7180.0,6530.0,7180.0,1215360
2009-04-20,6200.0,6300.0,6200.0,6200.0,686920
2009-04-21,6200.0,6270.0,5900.0,5900.0,932280
2009-04-22,6510.0,6510.0,6200.0,6200.0,701900
2009-04-23,6480.0,6620.0,6410.0,6620.0,531810
2009-04-24,6370.0,6370.0,6250.0,6300.0,465930
2009-04-27,6370.0,6600.0,6300.0,6600.0,358300
2009-04-28,6440.0,6440.0,6270.0,6270.0,432820
2009-04-29,6480.0,6510.0,6390.0,6390.0,283530
2009-05-04,6790.0,6790.0,6790.0,6790.0,216780
2009-05-05,7110.0,7110.0,7110.0,7110.0,531470
2009-05-06,7390.0,7460.0,7230.0,7460.0,2687590
2009-05-07,7740.0,7740.0,7740.0,7740.0,495520
2009-05-08,8120.0,8120.0,7810.0,7810.0,910820
2009-05-11,8190.0,8400.0,8050.0,8140.0,920240
2009-05-12,8160.0,8400.0,7930.0,8090.0,763940
2009-05-13,7790.0,8050.0,7770.0,7790.0,796310
2009-05-14,7790.0,7790.0,7420.0,7460.0,575680
2009-05-15,7810.0,7910.0,7790.0,7790.0,719970
2009-05-18,7670.0,7740.0,7600.0,7720.0,536020
2009-05-19,7810.0,8050.0,7700.0,8050.0,1157310
2009-05-20,7910.0,8160.0,7790.0,7840.0,923090
2009-05-21,7700.0,7930.0,7700.0,7930.0,243160
2009-05-22,7350.0,7700.0,7320.0,7420.0,443000
2009-05-25,7700.0,7700.0,7440.0,7460.0,490930
2009-05-26,7600.0,7720.0,7560.0,7720.0,475910
2009-05-27,7420.0,7510.0,7320.0,7460.0,512200
2009-05-28,7070.0,7230.0,7070.0,7180.0,603090
2009-05-29,6830.0,7110.0,6760.0,7070.0,811810
2009-06-01,7160.0,7160.0,7000.0,7110.0,145900
2009-06-02,7510.0,7510.0,7510.0,7510.0,275130
2009-06-03,7530.0,7810.0,7210.0,7700.0,929570
2009-06-04,7530.0,7630.0,7460.0,7460.0,692240
2009-06-05,7910.0,7910.0,7650.0,7740.0,2277740
2009-06-08,8280.0,8280.0,8160.0,8210.0,1328370
2009-06-09,8160.0,8190.0,7950.0,8050.0,1193990
2009-06-10,7770.0,7810.0,7810.0,7810.0,427720
2009-06-11,7670.0,7390.0,7390.0,7390.0,2429450
2009-06-12,7390.0,7810.0,7350.0,7810.0,1869440
2009-06-15,7040.0,7230.0,7040.0,7040.0,1412530
2009-06-16,6690.0,6690.0,6690.0,6690.0,598110
2009-06-17,6530.0,6690.0,6370.0,6370.0,2723080
2009-06-18,6860.0,6860.0,6530.0,6760.0,1856380
2009-06-19,6740.0,7090.0,6580.0,7090.0,1336270
2009-06-22,6440.0,6600.0,6410.0,6530.0,1016730
2009-06-23,6300.0,6370.0,6130.0,6130.0,1439650
2009-06-24,6600.0,6600.0,6530.0,6580.0,1098550
2009-06-25,6760.0,6930.0,6600.0,6930.0,1700780
2009-06-26,6620.0,6760.0,6600.0,6650.0,904930
2009-06-29,6410.0,6530.0,6410.0,6460.0,706430
2009-06-30,6270.0,6480.0,6180.0,6410.0,778980
2009-07-01,6250.0,6250.0,6060.0,6060.0,1464620
2009-07-02,6410.0,6530.0,6250.0,6250.0,506880
2009-07-03,6510.0,6530.0,6320.0,6410.0,289300
2009-07-06,6790.0,6810.0,6510.0,6510.0,579090
2009-07-07,6600.0,6740.0,6530.0,6580.0,615570
2009-07-08,6510.0,6580.0,6440.0,6440.0,453530
2009-07-09,6530.0,6580.0,6480.0,6580.0,319530
2009-07-10,6320.0,6530.0,6320.0,6530.0,653130
2009-07-13,6180.0,6320.0,6180.0,6300.0,696840
2009-07-14,6110.0,6200.0,6060.0,6180.0,710360
2009-07-15,6130.0,6230.0,6110.0,6110.0,504200
2009-07-16,6270.0,6410.0,6130.0,6410.0,680370
2009-07-17,6230.0,6270.0,6180.0,6270.0,434570
2009-07-20,6130.0,6160.0,6060.0,6110.0,637910
2009-07-21,6130.0,6200.0,6110.0,6130.0,512200
2009-07-22,6130.0,6230.0,6130.0,6230.0,408950
2009-07-23,6370.0,6370.0,6090.0,6090.0,326600
2009-07-24,6670.0,6670.0,6620.0,6670.0,1209030
2009-07-27,6620.0,6670.0,6410.0,6670.0,770940
2009-07-28,6340.0,6480.0,6300.0,6410.0,688020
2009-07-29,6410.0,6510.0,6300.0,6340.0,523380
2009-07-30,6410.0,6460.0,6300.0,6410.0,696020
2009-07-31,6530.0,6620.0,6410.0,6530.0,910720
2009-08-03,6410.0,6530.0,6390.0,6410.0,404590
2009-08-04,6460.0,6460.0,6390.0,6460.0,1091120
2009-08-05,6440.0,6480.0,6370.0,6390.0,965060
2009-08-06,6620.0,6720.0,6410.0,6410.0,2140370
2009-08-07,6670.0,6720.0,6550.0,6600.0,765370
2009-08-10,6790.0,6810.0,6670.0,6760.0,1176130
2009-08-11,6860.0,6860.0,6670.0,6740.0,1400000
2009-08-12,6810.0,6950.0,6790.0,6900.0,789960
2009-08-13,6880.0,7000.0,6790.0,6880.0,1356970
2009-08-14,7160.0,7180.0,7040.0,7110.0,2164010
2009-08-17,7000.0,7230.0,7000.0,7230.0,892180
2009-08-18,6900.0,6970.0,6810.0,6810.0,601930
2009-08-19,7070.0,7070.0,6900.0,6950.0,919330
2009-08-20,7040.0,7090.0,7000.0,7070.0,814480
2009-08-21,7020.0,7230.0,7000.0,7160.0,1085560
2009-08-24,7040.0,7090.0,7000.0,7000.0,710290
2009-08-25,6880.0,7020.0,6880.0,7000.0,874640
2009-08-26,6930.0,7000.0,6860.0,6880.0,748100
2009-08-27,6930.0,6950.0,6860.0,6900.0,538270
2009-08-28,7000.0,7000.0,6930.0,6930.0,596400
2009-08-31,7000.0,7070.0,7000.0,7000.0,709960
2009-09-01,6880.0,6970.0,6880.0,6880.0,710080
2009-09-03,6790.0,6880.0,6760.0,6790.0,501300
2009-09-04,6650.0,6830.0,6650.0,6650.0,524080
2009-09-07,6550.0,6600.0,6460.0,6550.0,459670
2009-09-08,6740.0,6760.0,6650.0,6740.0,290920
2009-09-09,6670.0,6720.0,6650.0,6670.0,412440
2009-09-10,6650.0,6740.0,6530.0,6650.0,469850
2009-09-11,6720.0,6740.0,6670.0,6670.0,438010
2009-09-14,6720.0,6740.0,6650.0,6650.0,454000
2009-09-15,6650.0,6720.0,6620.0,6720.0,484500
2009-09-16,6690.0,6740.0,6690.0,6720.0,466930
2009-09-17,6760.0,6760.0,6690.0,6720.0,670530
2009-09-18,7000.0,7070.0,6930.0,7070.0,1747180
2009-09-21,6830.0,7000.0,6830.0,7000.0,288990
2009-09-22,6690.0,6760.0,6690.0,6720.0,513500
2009-09-23,6670.0,6860.0,6670.0,6690.0,788150
2009-09-24,6530.0,6670.0,6510.0,6600.0,720130
2009-09-25,6530.0,6550.0,6460.0,6480.0,636090
2009-09-28,6410.0,6550.0,6410.0,6530.0,866180
2009-09-29,6440.0,6580.0,6440.0,6440.0,483540
2009-09-30,6410.0,6510.0,6340.0,6510.0,502900
2009-10-01,6370.0,6480.0,6370.0,6370.0,281930
2009-10-02,6160.0,6340.0,6110.0,6200.0,500730
2009-10-05,6130.0,6230.0,6060.0,6180.0,293180
2009-10-06,6110.0,6180.0,6110.0,6180.0,445650
2009-10-07,6270.0,6300.0,6110.0,6180.0,590900
2009-10-08,6200.0,6270.0,6060.0,6270.0,338480
2009-10-09,6250.0,6300.0,6200.0,6300.0,718770
2009-10-12,6250.0,6300.0,6230.0,6300.0,609190
2009-10-13,6180.0,6250.0,6180.0,6230.0,442960
2009-10-14,6480.0,6480.0,6480.0,6480.0,478030
2009-10-15,6790.0,6790.0,6790.0,6790.0,607190
2009-10-16,7110.0,7110.0,6880.0,7110.0,6113230
2009-10-19,6760.0,7000.0,6760.0,7000.0,1258720
2009-10-20,6620.0,6760.0,6510.0,6760.0,1864670
2009-10-21,6480.0,6620.0,6480.0,6530.0,1150380
2009-10-22,6690.0,6760.0,6390.0,6410.0,1853170
2009-10-23,6410.0,6670.0,6410.0,6650.0,927500
2009-10-26,6410.0,6530.0,6370.0,6390.0,662180
2009-10-27,6230.0,6410.0,6130.0,6410.0,1340790
2009-10-28,6230.0,6340.0,6230.0,6300.0,1111450
2009-10-29,6060.0,6180.0,6020.0,6090.0,833670
2009-10-30,6160.0,6250.0,6060.0,6250.0,529350
2009-11-02,5850.0,5900.0,5850.0,5900.0,1153400
2009-11-03,5580.0,5850.0,5580.0,5830.0,1157850
2009-11-04,5710.0,5830.0,5480.0,5600.0,729800
2009-11-05,5990.0,5990.0,5710.0,5830.0,660400
2009-11-06,5740.0,6060.0,5740.0,6060.0,1014370
2009-11-09,5460.0,5710.0,5460.0,5710.0,715200
2009-11-10,5320.0,5510.0,5250.0,5480.0,884830
2009-11-11,5480.0,5510.0,5340.0,5370.0,467440
2009-11-12,5530.0,5620.0,5510.0,5550.0,471530
2009-11-13,5480.0,5530.0,5370.0,5440.0,782750
2009-11-16,5440.0,5580.0,5410.0,5580.0,554400
2009-11-17,5370.0,5480.0,5370.0,5480.0,434570
2009-11-18,5340.0,5390.0,5300.0,5300.0,529260
2009-11-19,5390.0,5440.0,5370.0,5410.0,631360
2009-11-20,5370.0,5440.0,5340.0,5390.0,358030
2009-11-23,5130.0,5340.0,5130.0,5200.0,575770
2009-11-24,4990.0,5130.0,4950.0,5110.0,513450
2009-11-25,4760.0,4950.0,4760.0,4900.0,629300
2009-11-26,4530.0,4530.0,4530.0,4530.0,375950
2009-11-27,4710.0,4740.0,4320.0,4320.0,738570
2009-11-30,4600.0,4760.0,4600.0,4670.0,728370
2009-12-01,4640.0,4710.0,4600.0,4710.0,675420
2009-12-02,4430.0,4620.0,4430.0,4600.0,715050
2009-12-03,4270.0,4500.0,4220.0,4500.0,757690
2009-12-04,4200.0,4360.0,4180.0,4360.0,748520
2009-12-07,4410.0,4410.0,4200.0,4250.0,788470
2009-12-08,4290.0,4430.0,4220.0,4430.0,539320
2009-12-09,4110.0,4150.0,4080.0,4110.0,945400
2009-12-10,3920.0,4180.0,3920.0,4150.0,723280
2009-12-11,3850.0,3920.0,3730.0,3830.0,815370
2009-12-14,3990.0,4040.0,3850.0,3850.0,511740
2009-12-15,3970.0,4010.0,3920.0,3940.0,454950
2009-12-16,3780.0,3850.0,3780.0,3800.0,824500
2009-12-17,3830.0,3830.0,3660.0,3730.0,540470
2009-12-18,3850.0,4010.0,3830.0,3830.0,1252980
2009-12-21,4040.0,4040.0,3940.0,3990.0,801240
2009-12-22,4150.0,4220.0,4080.0,4220.0,1528880
2009-12-23,4150.0,4200.0,4080.0,4150.0,945630
2009-12-24,4220.0,4220.0,4060.0,4150.0,1179300
2009-12-25,4430.0,4430.0,4220.0,4290.0,1187960
2009-12-28,4320.0,4550.0,4320.0,4360.0,804180
2009-12-29,4270.0,4320.0,4180.0,4250.0,1029100
2009-12-30,4480.0,4480.0,4250.0,4270.0,1713530
2009-12-31,4410.0,4620.0,4410.0,4600.0,713560
2010-01-04,4620.0,4620.0,4430.0,4430.0,904220
2010-01-05,4830.0,4830.0,4760.0,4830.0,2064790
2010-01-06,4970.0,4970.0,4690.0,4690.0,2577450
2010-01-07,4760.0,4990.0,4760.0,4970.0,728750
2010-01-08,4760.0,4970.0,4760.0,4900.0,958470
2010-01-11,4780.0,4880.0,4710.0,4780.0,834630
2010-01-12,4780.0,4990.0,4780.0,4850.0,1764530
2010-01-13,4810.0,4900.0,4570.0,4780.0,832960
2010-01-14,4810.0,4900.0,4810.0,4900.0,321680
2010-01-15,4670.0,4810.0,4670.0,4810.0,729430
2010-01-18,4430.0,4570.0,4430.0,4550.0,1568830
2010-01-19,4410.0,4480.0,4390.0,4390.0,823570
2010-01-20,4360.0,4430.0,4360.0,4390.0,382170
2010-01-21,4320.0,4410.0,4320.0,4320.0,814500
2010-01-22,4290.0,4340.0,4220.0,4270.0,275850
2010-01-25,4320.0,4340.0,4270.0,4290.0,262490
2010-01-26,4530.0,4530.0,4430.0,4430.0,711230
2010-01-27,4360.0,4550.0,4360.0,4530.0,491610
2010-01-28,4340.0,4530.0,4340.0,4530.0,428370
2010-01-29,4360.0,4410.0,4340.0,4390.0,322970
2010-02-01,4560.0,4560.0,4490.0,4510.0,437210
2010-02-02,4510.0,4590.0,4510.0,4590.0,455070
2010-02-03,4660.0,4660.0,4560.0,4590.0,608630
2010-02-04,4660.0,4710.0,4610.0,4660.0,390410
2010-02-05,4510.0,4610.0,4510.0,4560.0,423470
2010-02-08,4490.0,4540.0,4460.0,4510.0,304910
2010-02-09,4390.0,4460.0,4360.0,4440.0,469700
2010-02-10,4440.0,4490.0,4410.0,4490.0,221590
2010-02-11,4490.0,4490.0,4410.0,4490.0,294690
2010-02-12,4540.0,4560.0,4510.0,4510.0,214520
2010-02-22,4610.0,4690.0,4610.0,4690.0,287760
2010-02-23,4440.0,4590.0,4440.0,4590.0,482130
2010-02-24,4340.0,4410.0,4310.0,4360.0,896540
2010-02-25,4290.0,4490.0,4290.0,4490.0,808340
2010-02-26,4490.0,4490.0,4260.0,4290.0,2134870
2010-03-01,4440.0,4590.0,4440.0,4590.0,928470
2010-03-02,4390.0,4460.0,4390.0,4440.0,446880
2010-03-03,4440.0,4440.0,4360.0,4440.0,523120
2010-03-04,4390.0,4490.0,4390.0,4460.0,906370
2010-03-05,4410.0,4440.0,4360.0,4390.0,675060
2010-03-08,4490.0,4490.0,4410.0,4440.0,961000
2010-03-09,4490.0,4540.0,4490.0,4490.0,546370
2010-03-10,4410.0,4490.0,4410.0,4490.0,534360
2010-03-11,4390.0,4460.0,4390.0,4440.0,467130
2010-03-12,4410.0,4460.0,4390.0,4460.0,257410
2010-03-15,4390.0,4460.0,4390.0,4440.0,541340
2010-03-16,4310.0,4390.0,4290.0,4360.0,617270
2010-03-17,4260.0,4340.0,4240.0,4310.0,399860
2010-03-18,4290.0,4340.0,4260.0,4340.0,470910
2010-03-19,4240.0,4310.0,4240.0,4290.0,393300
2010-03-22,4210.0,4260.0,4190.0,4260.0,349570
2010-03-23,4210.0,4240.0,4190.0,4240.0,303070
2010-03-24,4240.0,4290.0,4210.0,4260.0,293720
2010-03-25,4160.0,4260.0,4140.0,4260.0,306020
2010-03-26,4110.0,4210.0,4110.0,4160.0,585580
2010-03-29,4140.0,4210.0,4140.0,4140.0,241890
2010-03-30,4060.0,4160.0,4060.0,4140.0,447760
2010-03-31,4060.0,4140.0,4060.0,4090.0,338830
2010-04-01,4260.0,4260.0,4090.0,4110.0,853070
2010-04-02,4260.0,4340.0,4240.0,4290.0,718170
2010-04-05,4310.0,4340.0,4290.0,4310.0,362400
2010-04-06,4240.0,4360.0,4240.0,4310.0,557060
2010-04-07,4260.0,4260.0,4210.0,4240.0,300500
2010-04-08,4190.0,4260.0,4190.0,4240.0,571510
2010-04-09,4360.0,4390.0,4210.0,4240.0,1530210
2010-04-12,4360.0,4440.0,4360.0,4440.0,986850
2010-04-13,4390.0,4490.0,4390.0,4410.0,1669840
2010-04-14,4410.0,4410.0,4340.0,4390.0,513350
2010-04-15,4410.0,4440.0,4360.0,4440.0,647250
2010-04-16,4340.0,4440.0,4340.0,4410.0,464150
2010-04-19,4240.0,4360.0,4240.0,4310.0,553010
2010-04-20,4310.0,4310.0,4260.0,4290.0,424700
2010-04-21,4310.0,4340.0,4260.0,4340.0,235820
2010-04-22,4340.0,4410.0,4310.0,4310.0,659870
2010-04-26,4540.0,4540.0,4490.0,4540.0,2676590
2010-04-27,4660.0,4710.0,4490.0,4560.0,1755290
2010-04-28,4890.0,4890.0,4740.0,4740.0,1671840
2010-04-29,5010.0,5110.0,4990.0,5040.0,1981850
2010-05-04,4960.0,5180.0,4960.0,5180.0,981200
2010-05-05,4740.0,4860.0,4740.0,4810.0,1998640
2010-05-06,4810.0,4840.0,4740.0,4760.0,913380
2010-05-07,4660.0,4740.0,4590.0,4660.0,1313620
2010-05-10,4460.0,4640.0,4460.0,4640.0,723700
2010-05-11,4660.0,4660.0,4460.0,4590.0,665420
2010-05-12,4490.0,4610.0,4490.0,4540.0,534360
2010-05-13,4460.0,4560.0,4460.0,4490.0,569530
2010-05-14,4440.0,4510.0,4410.0,4510.0,330710
2010-05-17,4260.0,4440.0,4260.0,4440.0,532330
2010-05-18,4240.0,4310.0,4190.0,4240.0,684460
2010-05-19,4060.0,4210.0,4040.0,4160.0,887750
2010-05-20,4160.0,4160.0,4010.0,4040.0,684190
2010-05-21,3960.0,4110.0,3960.0,3990.0,898240
2010-05-24,4040.0,4090.0,3960.0,4060.0,430690
2010-05-25,4060.0,4090.0,4010.0,4040.0,610760
2010-05-26,4110.0,4140.0,4090.0,4110.0,548210
2010-05-27,4160.0,4160.0,4090.0,4110.0,483270
2010-05-28,4360.0,4360.0,4240.0,4260.0,1039400
2010-05-31,4290.0,4360.0,4210.0,4340.0,413710
2010-06-01,4390.0,4440.0,4190.0,4210.0,593110
2010-06-02,4340.0,4390.0,4340.0,4360.0,512700
2010-06-03,4290.0,4390.0,4290.0,4390.0,342640
2010-06-04,4260.0,4340.0,4240.0,4290.0,396580
2010-06-07,4110.0,4210.0,4110.0,4140.0,834690
2010-06-08,4110.0,4160.0,4090.0,4110.0,617420
2010-06-09,4110.0,4190.0,4090.0,4160.0,595700
2010-06-10,4110.0,4140.0,4090.0,4110.0,292960
2010-06-11,4140.0,4190.0,4140.0,4190.0,272430
2010-06-14,4210.0,4310.0,4140.0,4160.0,779470
2010-06-15,4160.0,4260.0,4160.0,4240.0,337880
2010-06-16,4190.0,4240.0,4190.0,4240.0,379460
2010-06-17,4210.0,4210.0,4160.0,4190.0,376570
2010-06-18,4260.0,4290.0,4210.0,4290.0,960770
2010-06-21,4240.0,4310.0,4240.0,4290.0,663470
2010-06-22,4240.0,4260.0,4190.0,4210.0,555490
2010-06-23,4210.0,4240.0,4190.0,4190.0,296610
2010-06-24,4210.0,4260.0,4210.0,4240.0,689640
2010-06-25,4210.0,4240.0,4190.0,4190.0,794310
2010-06-28,4190.0,4240.0,4190.0,4190.0,332070
2010-06-29,4190.0,4210.0,4160.0,4190.0,236960
2010-06-30,4060.0,4110.0,4040.0,4060.0,542220
2010-07-01,4110.0,4110.0,4060.0,4090.0,199010
2010-07-02,4040.0,4110.0,4010.0,4060.0,496330
2010-07-05,4110.0,4110.0,4040.0,4040.0,278290
2010-07-06,4010.0,4060.0,3990.0,4040.0,410120
2010-07-07,3960.0,4060.0,3960.0,4060.0,233990
2010-07-08,3940.0,3990.0,3940.0,3990.0,223290
2010-07-09,3940.0,3990.0,3940.0,3940.0,258200
2010-07-12,3940.0,3940.0,3890.0,3940.0,166190
2010-07-13,4060.0,4110.0,3990.0,4010.0,308950
2010-07-14,4010.0,4110.0,3990.0,4110.0,288740
2010-07-15,3990.0,4010.0,3960.0,3990.0,215060
2010-07-16,3990.0,4010.0,3990.0,3990.0,300110
2010-07-19,3960.0,4010.0,3940.0,3990.0,278230
2010-07-20,3960.0,3990.0,3940.0,3960.0,249000
2010-07-21,3910.0,3960.0,3860.0,3960.0,360370
2010-07-22,3840.0,3910.0,3840.0,3890.0,292510
2010-07-23,3840.0,3890.0,3810.0,3890.0,239510
2010-07-26,3840.0,3890.0,3810.0,3890.0,170490
2010-07-27,3890.0,3960.0,3840.0,3840.0,492770
2010-07-28,3810.0,3890.0,3810.0,3860.0,131790
2010-07-29,3710.0,3840.0,3710.0,3810.0,495010
2010-07-30,3660.0,3740.0,3660.0,3690.0,664060
2010-08-02,3610.0,3660.0,3590.0,3660.0,525540
2010-08-03,3540.0,3640.0,3510.0,3640.0,587930
2010-08-04,3440.0,3540.0,3410.0,3540.0,841240
2010-08-05,3590.0,3590.0,3510.0,3510.0,1217680
2010-08-06,3590.0,3660.0,3590.0,3660.0,467640
2010-08-09,3490.0,3590.0,3490.0,3590.0,258450
2010-08-10,3390.0,3540.0,3340.0,3520.0,1003220
2010-08-11,3390.0,3460.0,3310.0,3460.0,704760
2010-08-12,3230.0,3390.0,3230.0,3310.0,740920
2010-08-13,3260.0,3260.0,3160.0,3180.0,613500
2010-08-16,3410.0,3410.0,3310.0,3310.0,699130
2010-08-17,3440.0,3440.0,3340.0,3390.0,455940
2010-08-18,3310.0,3440.0,3290.0,3410.0,711350
2010-08-19,3310.0,3340.0,3290.0,3310.0,578760
2010-08-20,3410.0,3410.0,3260.0,3310.0,584870
2010-08-23,3310.0,3410.0,3290.0,3410.0,253800
2010-08-24,3210.0,3260.0,3160.0,3260.0,413940
2010-08-25,3060.0,3180.0,3060.0,3180.0,459840
2010-08-26,3010.0,3160.0,2980.0,3060.0,577030
2010-08-27,3060.0,3080.0,2980.0,3060.0,283520
2010-08-30,3210.0,3210.0,3130.0,3160.0,582980
2010-08-31,3260.0,3360.0,3210.0,3290.0,865900
2010-09-01,3260.0,3310.0,3180.0,3290.0,377070
2010-09-06,3340.0,3410.0,3290.0,3290.0,886030
2010-09-07,3260.0,3340.0,3260.0,3340.0,565540
2010-09-08,3230.0,3230.0,3130.0,3230.0,571740
2010-09-09,3290.0,3290.0,3210.0,3290.0,243160
2010-09-10,3160.0,3290.0,3160.0,3290.0,451480
2010-09-13,3160.0,3210.0,3110.0,3210.0,465810
2010-09-14,3210.0,3210.0,3160.0,3180.0,338150
2010-09-15,3290.0,3290.0,3160.0,3230.0,1041770
2010-09-16,3290.0,3310.0,3230.0,3310.0,665290
2010-09-17,3340.0,3340.0,3230.0,3260.0,755640
2010-09-20,3360.0,3360.0,3310.0,3360.0,545380
2010-09-21,3260.0,3340.0,3260.0,3310.0,448380
2010-09-22,3260.0,3290.0,3230.0,3260.0,346670
2010-09-23,3290.0,3290.0,3230.0,3230.0,635690
2010-09-24,3260.0,3260.0,3180.0,3210.0,559610
2010-09-27,3230.0,3260.0,3180.0,3260.0,298970
2010-09-28,3260.0,3290.0,3230.0,3290.0,222830
2010-09-29,3290.0,3290.0,3230.0,3260.0,503020
2010-09-30,3260.0,3310.0,3230.0,3310.0,286620
2010-10-01,3210.0,3290.0,3210.0,3260.0,191770
2010-10-04,3180.0,3210.0,3160.0,3210.0,375960
2010-10-05,3260.0,3260.0,3130.0,3180.0,334480
2010-10-06,3260.0,3290.0,3230.0,3260.0,592160
2010-10-07,3210.0,3290.0,3210.0,3230.0,270690
2010-10-08,3110.0,3210.0,3110.0,3210.0,969560
2010-10-11,3060.0,3130.0,3030.0,3110.0,478630
2010-10-12,3010.0,3060.0,2980.0,3060.0,454030
2010-10-13,3080.0,3080.0,2980.0,3010.0,423010
2010-10-14,3010.0,3080.0,3010.0,3080.0,522880
2010-10-15,3030.0,3030.0,2980.0,3030.0,344990
2010-10-18,3010.0,3060.0,3010.0,3010.0,183280
2010-10-19,2980.0,3030.0,2950.0,3030.0,366790
2010-10-20,2880.0,2980.0,2880.0,2950.0,285630
2010-10-21,2900.0,2930.0,2830.0,2880.0,393970
2010-10-22,2880.0,2880.0,2800.0,2830.0,342420
2010-10-25,2830.0,2880.0,2800.0,2880.0,195310
2010-10-26,2900.0,2930.0,2830.0,2830.0,279240
2010-10-27,2880.0,2900.0,2830.0,2900.0,238710
2010-10-28,2850.0,2880.0,2850.0,2850.0,87300
2010-10-29,2880.0,2880.0,2830.0,2850.0,216560
2010-11-01,2930.0,2930.0,2850.0,2880.0,205360
2010-11-02,2880.0,2930.0,2880.0,2930.0,118190
2010-11-03,2880.0,2880.0,2850.0,2850.0,171800
2010-11-04,2880.0,2900.0,2850.0,2880.0,243250
2010-11-05,2950.0,2950.0,2880.0,2880.0,216840
2010-11-08,2880.0,2950.0,2880.0,2950.0,224900
2010-11-09,2830.0,2900.0,2800.0,2900.0,259840
2010-11-10,2830.0,2850.0,2800.0,2830.0,318430
2010-11-11,2780.0,2830.0,2780.0,2830.0,253460
2010-11-12,2800.0,2800.0,2730.0,2800.0,462480
2010-11-15,2730.0,2800.0,2730.0,2730.0,158800
2010-11-16,2670.0,2730.0,2670.0,2730.0,260170
2010-11-17,2700.0,2780.0,2650.0,2650.0,582730
2010-11-18,2780.0,2780.0,2700.0,2750.0,147230
2010-11-19,2780.0,2800.0,2750.0,2800.0,201010
2010-11-22,2750.0,2750.0,2670.0,2700.0,288460
2010-11-23,2830.0,2830.0,2730.0,2730.0,391710
2010-11-24,2880.0,2880.0,2750.0,2830.0,358240
2010-11-25,2850.0,2950.0,2800.0,2880.0,128140
2010-11-26,2830.0,2900.0,2830.0,2850.0,168480
2010-11-29,2950.0,2950.0,2830.0,2830.0,341350
2010-11-30,2950.0,3080.0,2950.0,3080.0,478590
2010-12-01,2880.0,3010.0,2880.0,3010.0,369250
