Date,Close,High,Low,Open,Volume
2009-04-17,20010.0,20010.0,18580.0,18580.0,320850
2009-04-20,19010.0,19010.0,19010.0,19010.0,16090
2009-04-21,18160.0,18160.0,18160.0,18160.0,64420
2009-04-22,19010.0,19010.0,18300.0,19010.0,166060
2009-04-23,18870.0,19440.0,18870.0,19010.0,66780
2009-04-24,18010.0,18580.0,18010.0,18300.0,93980
2009-04-27,18870.0,18870.0,18730.0,18870.0,90650
2009-04-28,18870.0,18870.0,18160.0,18160.0,81960
2009-04-29,19730.0,19730.0,18870.0,18870.0,57820
2009-05-04,20590.0,20590.0,20590.0,20590.0,171090
2009-05-05,21440.0,21590.0,21440.0,21590.0,730920
2009-05-06,20440.0,21440.0,20440.0,21440.0,377550
2009-05-07,21160.0,21440.0,21160.0,21440.0,261970
2009-05-08,21010.0,21440.0,20300.0,20300.0,126580
2009-05-11,21160.0,21440.0,21010.0,21300.0,243570
2009-05-12,21300.0,21300.0,20590.0,20590.0,187650
2009-05-13,21160.0,21300.0,20730.0,20730.0,344200
2009-05-14,20730.0,21010.0,20160.0,20590.0,213670
2009-05-15,21010.0,21160.0,20870.0,21160.0,196640
2009-05-18,20730.0,21010.0,20590.0,21010.0,43810
2009-05-19,20300.0,21440.0,19730.0,21300.0,293440
2009-05-20,20300.0,20590.0,20010.0,20010.0,291550
2009-05-21,20440.0,20730.0,20160.0,20730.0,265940
2009-05-22,19730.0,20010.0,19730.0,19870.0,321610
2009-05-25,20590.0,20590.0,20010.0,20010.0,420420
2009-05-26,20010.0,21010.0,20010.0,20590.0,324510
2009-05-27,21010.0,21010.0,20440.0,20440.0,336830
2009-05-28,21300.0,22020.0,21160.0,22020.0,643420
2009-05-29,21160.0,21590.0,20870.0,21590.0,284840
2009-06-01,21590.0,21730.0,21010.0,21440.0,370540
2009-06-02,21590.0,22590.0,21440.0,22590.0,254300
2009-06-03,22020.0,22020.0,21300.0,21440.0,491000
2009-06-04,22870.0,22870.0,22300.0,22440.0,473990
2009-06-05,24020.0,24020.0,24020.0,24020.0,140610
2009-06-08,25160.0,25160.0,25160.0,25160.0,55100
2009-06-09,26300.0,26300.0,26020.0,26300.0,777200
2009-06-10,25020.0,25160.0,25020.0,25020.0,364420
2009-06-11,25300.0,25730.0,25730.0,25730.0,316080
2009-06-12,24300.0,25730.0,24300.0,25730.0,415700
2009-06-15,23160.0,23160.0,23160.0,23160.0,222220
2009-06-16,22020.0,22020.0,22020.0,22020.0,98950
2009-06-17,23020.0,23020.0,21010.0,21010.0,524380
2009-06-18,22590.0,23730.0,22590.0,23730.0,237610
2009-06-19,21730.0,22590.0,21730.0,22590.0,178130
2009-06-22,22020.0,22730.0,21160.0,21440.0,413130
2009-06-23,22020.0,22020.0,21010.0,21010.0,821280
2009-06-24,23020.0,23020.0,22730.0,22870.0,148500
2009-06-25,23870.0,23870.0,22300.0,23450.0,385760
2009-06-26,24590.0,24590.0,23020.0,23160.0,422080
2009-06-29,24020.0,24590.0,24020.0,24590.0,496250
2009-06-30,24020.0,24020.0,22870.0,23300.0,629850
2009-07-01,22870.0,23020.0,22870.0,22870.0,49770
2009-07-02,22160.0,22730.0,21730.0,22160.0,152920
2009-07-03,22300.0,22300.0,21590.0,21590.0,66200
2009-07-06,23020.0,23020.0,22300.0,22730.0,102360
2009-07-07,22020.0,23020.0,21870.0,22300.0,211980
2009-07-08,22020.0,22020.0,21300.0,21870.0,178700
2009-07-09,21590.0,22300.0,21440.0,22300.0,272970
2009-07-10,21440.0,21590.0,21440.0,21590.0,152580
2009-07-13,21010.0,21440.0,20870.0,21440.0,95690
2009-07-14,20730.0,21010.0,20590.0,20590.0,134360
2009-07-15,21300.0,21300.0,20730.0,20730.0,114540
2009-07-16,21440.0,21730.0,21300.0,21730.0,120540
2009-07-17,21440.0,21440.0,21300.0,21440.0,44960
2009-07-20,20730.0,21010.0,20590.0,20730.0,147100
2009-07-21,21440.0,21440.0,21160.0,21440.0,124540
2009-07-22,21590.0,21730.0,21440.0,21440.0,135000
2009-07-23,21870.0,21870.0,21440.0,21440.0,109880
2009-07-24,22870.0,22870.0,22870.0,22870.0,129880
2009-07-27,23730.0,24020.0,22870.0,24020.0,229230
2009-07-28,22730.0,23450.0,22730.0,22730.0,134950
2009-07-29,22870.0,23160.0,22730.0,22870.0,58200
2009-07-30,22440.0,22870.0,22300.0,22870.0,13740
2009-07-31,22440.0,22870.0,22440.0,22870.0,136860
2009-08-03,22440.0,22730.0,22300.0,22440.0,54580
2009-08-04,22440.0,22870.0,22440.0,22870.0,149810
2009-08-05,22590.0,22730.0,22440.0,22440.0,42820
2009-08-06,22590.0,22870.0,22590.0,22730.0,63470
2009-08-07,22870.0,22870.0,22590.0,22590.0,35950
2009-08-10,23300.0,23300.0,22590.0,22870.0,142980
2009-08-11,23160.0,23450.0,23160.0,23450.0,85860
2009-08-12,23590.0,23590.0,23160.0,23300.0,117250
2009-08-13,23450.0,24020.0,23450.0,23730.0,194030
2009-08-14,23590.0,23590.0,23160.0,23160.0,110660
2009-08-17,23020.0,23590.0,23020.0,23450.0,63790
2009-08-18,23160.0,23300.0,22870.0,23020.0,70150
2009-08-19,24020.0,24300.0,23450.0,23590.0,256510
2009-08-20,25160.0,25160.0,24300.0,24590.0,284800
2009-08-21,26300.0,26300.0,26020.0,26300.0,386420
2009-08-24,27590.0,27590.0,26590.0,27590.0,588730
2009-08-25,26300.0,27450.0,26300.0,26880.0,416240
2009-08-26,27450.0,27590.0,26730.0,26880.0,453620
2009-08-27,27020.0,27450.0,26880.0,27450.0,141050
2009-08-28,26880.0,27020.0,26730.0,27020.0,222150
2009-08-31,27300.0,27450.0,26730.0,27300.0,371270
2009-09-01,27160.0,27160.0,26730.0,27160.0,277710
2009-09-03,26730.0,27020.0,26590.0,26730.0,261960
2009-09-04,26160.0,26880.0,26020.0,26160.0,292420
2009-09-07,25450.0,26020.0,25020.0,25450.0,190950
2009-09-08,26590.0,26590.0,26160.0,26590.0,197100
2009-09-09,26590.0,27020.0,26160.0,26590.0,243340
2009-09-10,26880.0,26880.0,26450.0,26880.0,210750
2009-09-11,27730.0,27880.0,27450.0,27730.0,573820
2009-09-14,27590.0,27730.0,27300.0,27590.0,360850
2009-09-15,27300.0,27590.0,27160.0,27300.0,211170
2009-09-16,28590.0,28590.0,27450.0,27590.0,885230
2009-09-17,28310.0,30020.0,28020.0,30020.0,585750
2009-09-18,28020.0,28310.0,28020.0,28160.0,551980
2009-09-21,28020.0,28450.0,28020.0,28160.0,445730
2009-09-22,27730.0,28160.0,27590.0,27880.0,517020
2009-09-23,28020.0,28310.0,27730.0,28020.0,359340
2009-09-24,27450.0,27880.0,27450.0,27730.0,472530
2009-09-25,27160.0,27300.0,26880.0,27160.0,385240
2009-09-28,26590.0,27160.0,26450.0,26590.0,409980
2009-09-29,27880.0,27880.0,26450.0,26590.0,492250
2009-09-30,27880.0,27880.0,27300.0,27450.0,293430
2009-10-01,27160.0,27590.0,27160.0,27300.0,177980
2009-10-02,26160.0,26590.0,25880.0,26020.0,443670
2009-10-05,26590.0,26590.0,26020.0,26450.0,183360
2009-10-06,26880.0,27160.0,26730.0,27160.0,146610
2009-10-07,27300.0,27730.0,27160.0,27160.0,166030
2009-10-08,27450.0,27590.0,27160.0,27300.0,189820
2009-10-09,27590.0,27730.0,27450.0,27590.0,225750
2009-10-12,27730.0,27880.0,27450.0,27730.0,366430
2009-10-13,27450.0,27730.0,27450.0,27730.0,236850
2009-10-14,27730.0,27730.0,27450.0,27450.0,299030
2009-10-15,27730.0,28880.0,27730.0,28590.0,1817050
2009-10-16,27730.0,28020.0,27590.0,28020.0,394210
2009-10-19,27450.0,27730.0,27450.0,27730.0,158280
2009-10-20,27300.0,27880.0,27300.0,27880.0,252150
2009-10-21,28160.0,28160.0,27450.0,27450.0,1102610
2009-10-22,27590.0,28020.0,27450.0,28020.0,679370
2009-10-23,27450.0,27730.0,27450.0,27730.0,743220
2009-10-26,26880.0,27880.0,26730.0,27450.0,304940
2009-10-27,26300.0,26450.0,26020.0,26300.0,392900
2009-10-28,26880.0,27020.0,26450.0,26880.0,262000
2009-10-29,26300.0,26300.0,25590.0,26020.0,456610
2009-10-30,26450.0,26590.0,26160.0,26590.0,310910
2009-11-02,25160.0,25300.0,25160.0,25300.0,282670
2009-11-03,24020.0,25160.0,24020.0,25160.0,686120
2009-11-04,24300.0,24870.0,23450.0,24020.0,431660
2009-11-05,24590.0,25020.0,24300.0,24590.0,473900
2009-11-06,23870.0,24870.0,23870.0,24870.0,337990
2009-11-09,22730.0,23300.0,22730.0,23020.0,305480
2009-11-10,22590.0,23300.0,22300.0,23300.0,305920
2009-11-11,23160.0,23160.0,22590.0,22870.0,199840
2009-11-12,24160.0,24300.0,23300.0,23450.0,208660
2009-11-13,23730.0,24160.0,23730.0,23870.0,241660
2009-11-16,24020.0,24160.0,23590.0,24020.0,212010
2009-11-17,25020.0,25020.0,24020.0,24160.0,348800
2009-11-18,26020.0,26020.0,24590.0,24730.0,429780
2009-11-19,26730.0,26880.0,25730.0,26020.0,590710
2009-11-20,26590.0,27020.0,26450.0,26590.0,607970
2009-11-23,25450.0,26300.0,25300.0,26160.0,260450
2009-11-24,25020.0,25590.0,24590.0,25450.0,235240
2009-11-25,23870.0,25160.0,23870.0,25020.0,429670
