Date,Close,High,Low,Open,Volume
2009-04-17,7090.0,7090.0,6760.0,7090.0,1021030
2009-04-20,6760.0,6980.0,6760.0,6760.0,254290
2009-04-21,6420.0,6760.0,6420.0,6420.0,658720
2009-04-22,6730.0,6730.0,6590.0,6700.0,583690
2009-04-23,6420.0,6840.0,6420.0,6730.0,235670
2009-04-24,6450.0,6560.0,6250.0,6420.0,337880
2009-04-27,6640.0,6640.0,6280.0,6420.0,166380
2009-04-28,6590.0,6760.0,6590.0,6640.0,210070
2009-04-29,6670.0,6700.0,6280.0,6310.0,415980
2009-05-04,6980.0,6980.0,6980.0,6980.0,259450
2009-05-05,6980.0,7310.0,6980.0,7310.0,393330
2009-05-06,6840.0,7060.0,6700.0,6980.0,388080
2009-05-07,6920.0,6920.0,6760.0,6840.0,252070
2009-05-08,6920.0,7260.0,6620.0,6640.0,224340
2009-05-11,6590.0,6810.0,6590.0,6760.0,275980
2009-05-12,6810.0,6840.0,6420.0,6420.0,276330
2009-05-13,7150.0,7150.0,6640.0,6980.0,519870
2009-05-14,7480.0,7480.0,7170.0,7200.0,817640
2009-05-15,7840.0,7840.0,7840.0,7840.0,97170
2009-05-18,8100.0,8230.0,7840.0,8230.0,642650
2009-05-19,7840.0,8100.0,7760.0,7820.0,312500
2009-05-20,8010.0,8180.0,7590.0,7590.0,526290
2009-05-21,8400.0,8400.0,7900.0,8100.0,537310
2009-05-22,8820.0,8820.0,8820.0,8820.0,105020
2009-05-25,9240.0,9240.0,9240.0,9240.0,39110
2009-05-26,8930.0,9630.0,8790.0,9600.0,713490
2009-05-27,8570.0,8850.0,8490.0,8710.0,462160
2009-05-28,8150.0,8570.0,8150.0,8290.0,189540
2009-05-29,8540.0,8540.0,7930.0,8350.0,201810
2009-06-01,8960.0,8960.0,8650.0,8880.0,147960
2009-06-02,8790.0,9410.0,8790.0,9410.0,260160
2009-06-03,8460.0,8770.0,8460.0,8510.0,176410
2009-06-04,8650.0,8880.0,8600.0,8650.0,296140
2009-06-05,9070.0,9070.0,8930.0,9070.0,302000
2009-06-08,9520.0,9520.0,9070.0,9070.0,510000
2009-06-09,9040.0,9350.0,9040.0,9040.0,275050
2009-06-10,8600.0,8650.0,8650.0,8650.0,365850
2009-06-11,8930.0,8930.0,8930.0,8930.0,263280
2009-06-12,8900.0,9210.0,8650.0,9210.0,177070
2009-06-15,8790.0,8900.0,8490.0,8490.0,187890
2009-06-16,8370.0,8650.0,8370.0,8510.0,155020
2009-06-17,8510.0,8510.0,7960.0,7960.0,93710
2009-06-18,8510.0,8790.0,8120.0,8650.0,70910
2009-06-19,8370.0,8540.0,8210.0,8510.0,77780
2009-06-22,7960.0,8100.0,7960.0,8100.0,38270
2009-06-23,7560.0,7560.0,7560.0,7560.0,7420
2009-06-24,7820.0,7930.0,7480.0,7480.0,126520
2009-06-25,7450.0,7960.0,7430.0,7960.0,54870
2009-06-26,7150.0,7510.0,7150.0,7150.0,77020
2009-06-29,6950.0,7120.0,6870.0,6870.0,102700
2009-06-30,7290.0,7290.0,6980.0,7290.0,104640
2009-07-01,6980.0,7260.0,6980.0,6980.0,72080
2009-07-02,7120.0,7150.0,6700.0,7060.0,36660
2009-07-03,7450.0,7450.0,6870.0,6870.0,75700
2009-07-06,7820.0,7820.0,7540.0,7680.0,89840
2009-07-07,7680.0,7820.0,7540.0,7820.0,44610
2009-07-08,7400.0,7650.0,7400.0,7450.0,60450
2009-07-09,7480.0,7650.0,7260.0,7480.0,32820
2009-07-10,7480.0,7540.0,7120.0,7480.0,52300
2009-07-13,7120.0,7450.0,7120.0,7170.0,28450
2009-07-14,7120.0,7230.0,6810.0,7120.0,45460
2009-07-15,7010.0,7310.0,6870.0,7310.0,17050
2009-07-16,7120.0,7290.0,6670.0,7290.0,65220
2009-07-17,6980.0,7200.0,6870.0,6870.0,27070
2009-07-20,6670.0,6810.0,6640.0,6700.0,82930
2009-07-21,6780.0,6780.0,6700.0,6700.0,12240
2009-07-22,6780.0,6950.0,6780.0,6840.0,47960
2009-07-23,7120.0,7120.0,6810.0,6840.0,42910
2009-07-24,7450.0,7450.0,7450.0,7450.0,11210
2009-07-27,7650.0,7790.0,7650.0,7790.0,184860
2009-07-28,7290.0,7540.0,7290.0,7340.0,77840
2009-07-29,7120.0,7290.0,7090.0,7090.0,32690
2009-07-30,7120.0,7200.0,6810.0,7120.0,43060
2009-07-31,7260.0,7310.0,7120.0,7120.0,40890
2009-08-03,7090.0,7200.0,6980.0,6980.0,11810
2009-08-04,7120.0,7170.0,7010.0,7170.0,39560
2009-08-05,7150.0,7150.0,6980.0,6980.0,23220
2009-08-06,7200.0,7400.0,7120.0,7120.0,50430
2009-08-07,7120.0,7230.0,7120.0,7230.0,20140
2009-08-10,7450.0,7450.0,7260.0,7260.0,99070
2009-08-11,7820.0,7820.0,7650.0,7730.0,267300
2009-08-12,7820.0,8100.0,7680.0,8070.0,154200
2009-08-13,7650.0,7820.0,7620.0,7820.0,169170
2009-08-14,7540.0,7590.0,7310.0,7310.0,96330
2009-08-17,7540.0,7540.0,7290.0,7540.0,105720
2009-08-18,7340.0,7480.0,7260.0,7260.0,25560
2009-08-19,7370.0,7510.0,7310.0,7400.0,111650
2009-08-20,7400.0,7480.0,7370.0,7370.0,87070
2009-08-21,7760.0,7760.0,7540.0,7620.0,562560
2009-08-24,8120.0,8120.0,7960.0,8070.0,359180
2009-08-25,8180.0,8460.0,8100.0,8320.0,253480
2009-08-26,8180.0,8230.0,7960.0,8100.0,128670
2009-08-27,8070.0,8180.0,7960.0,7960.0,237630
2009-08-28,8320.0,8400.0,8100.0,8100.0,400670
2009-08-31,8490.0,8630.0,8230.0,8370.0,195940
2009-09-01,8260.0,8490.0,8180.0,8260.0,190460
2009-09-03,8180.0,8260.0,8100.0,8180.0,206230
2009-09-04,8370.0,8570.0,8350.0,8370.0,884010
2009-09-07,8790.0,8790.0,8600.0,8790.0,849130
2009-09-08,9210.0,9210.0,9210.0,9210.0,938140
2009-09-09,9660.0,9660.0,9520.0,9660.0,860820
2009-09-10,9180.0,9770.0,9180.0,9180.0,476790
2009-09-11,8930.0,9210.0,8880.0,9210.0,398370
2009-09-14,9180.0,9320.0,8930.0,8930.0,587830
2009-09-15,9160.0,9350.0,8820.0,9350.0,311900
2009-09-16,8900.0,9040.0,8820.0,9020.0,261900
2009-09-17,8900.0,9070.0,8710.0,8820.0,187790
2009-09-18,9180.0,9180.0,8820.0,8820.0,336440
2009-09-21,8790.0,9210.0,8790.0,9210.0,286350
2009-09-22,8850.0,8900.0,8680.0,8790.0,344260
2009-09-23,9270.0,9270.0,9210.0,9270.0,661350
2009-09-24,8990.0,9270.0,8960.0,9270.0,130550
2009-09-25,8820.0,9070.0,8790.0,8790.0,229520
2009-09-28,8650.0,9020.0,8650.0,9020.0,190810
2009-09-29,8630.0,8770.0,8540.0,8540.0,224750
2009-09-30,8650.0,8900.0,8630.0,8900.0,212900
2009-10-01,8400.0,8820.0,8400.0,8820.0,140040
2009-10-02,7980.0,8350.0,7980.0,8040.0,353890
2009-10-05,8010.0,8100.0,7760.0,7980.0,214230
2009-10-06,8040.0,8210.0,8040.0,8100.0,173500
2009-10-07,8430.0,8430.0,8370.0,8400.0,79060
2009-10-08,8850.0,8850.0,8370.0,8790.0,330300
2009-10-09,9240.0,9270.0,8430.0,9270.0,512970
2009-10-12,9240.0,9630.0,9240.0,9300.0,356760
2009-10-13,9160.0,9320.0,9100.0,9210.0,431800
2009-10-14,9490.0,9490.0,9160.0,9160.0,434170
