Date,Close,High,Low,Open,Volume
2009-04-17,4280.0,4460.0,4070.0,4460.0,6846570
2009-04-20,4070.0,4070.0,4070.0,4070.0,377420
2009-04-21,3870.0,4010.0,3870.0,3870.0,3657990
2009-04-22,4050.0,4050.0,3840.0,4050.0,2144820
2009-04-23,3850.0,4230.0,3850.0,4190.0,1520330
2009-04-24,3670.0,3840.0,3670.0,3750.0,1268750
2009-04-27,3500.0,3750.0,3500.0,3530.0,2841570
2009-04-28,3660.0,3660.0,3500.0,3500.0,2199910
2009-04-29,3840.0,3840.0,3670.0,3750.0,1000500
2009-05-04,4010.0,4010.0,4010.0,4010.0,44300
2009-05-05,4210.0,4210.0,4210.0,4210.0,786080
2009-05-06,4230.0,4410.0,4190.0,4390.0,5856340
2009-05-07,4420.0,4420.0,4420.0,4420.0,731350
2009-05-08,4640.0,4640.0,4550.0,4600.0,2928210
2009-05-11,4710.0,4870.0,4550.0,4640.0,2059210
2009-05-12,4940.0,4940.0,4530.0,4710.0,2413280
2009-05-13,4940.0,5170.0,4820.0,4820.0,2555530
2009-05-14,4940.0,4940.0,4710.0,4780.0,2054880
2009-05-15,5170.0,5170.0,4980.0,5160.0,1810220
2009-05-18,5170.0,5410.0,5140.0,5170.0,2728780
2009-05-19,5420.0,5420.0,5260.0,5420.0,2669210
2009-05-20,5570.0,5690.0,5280.0,5300.0,2109820
2009-05-21,5300.0,5530.0,5300.0,5530.0,2007040
2009-05-22,5050.0,5140.0,5050.0,5050.0,2171510
2009-05-25,5300.0,5300.0,5230.0,5260.0,545890
2009-05-26,5350.0,5530.0,5350.0,5510.0,1623660
2009-05-27,5120.0,5330.0,5080.0,5210.0,1449880
2009-05-28,4870.0,5100.0,4870.0,5000.0,1742840
2009-05-29,4890.0,4980.0,4750.0,4870.0,792190
2009-06-01,5120.0,5120.0,4960.0,5000.0,1657350
2009-06-02,5280.0,5370.0,5260.0,5370.0,1426430
2009-06-03,5140.0,5280.0,5070.0,5140.0,1373850
2009-06-04,5230.0,5320.0,5170.0,5170.0,1652680
2009-06-05,5480.0,5480.0,5440.0,5480.0,1516250
2009-06-08,5740.0,5740.0,5740.0,5740.0,262350
2009-06-09,6030.0,6030.0,6030.0,6030.0,1258390
2009-06-10,6320.0,6320.0,6320.0,6320.0,7478890
2009-06-11,6620.0,6620.0,6620.0,6620.0,579350
2009-06-12,6940.0,6940.0,6940.0,6940.0,2202210
2009-06-15,6600.0,6960.0,6600.0,6600.0,2700310
2009-06-16,6280.0,6280.0,6280.0,6280.0,564270
2009-06-17,5980.0,6240.0,5980.0,5980.0,3397390
2009-06-18,5900.0,6150.0,5800.0,6150.0,1760350
2009-06-19,5800.0,5890.0,5620.0,5890.0,1945300
2009-06-22,5510.0,5710.0,5510.0,5530.0,522570
2009-06-23,5240.0,5240.0,5240.0,5240.0,41590
2009-06-24,5490.0,5490.0,5350.0,5490.0,3543890
2009-06-25,5230.0,5490.0,5230.0,5490.0,2045610
2009-06-26,5350.0,5410.0,5120.0,5170.0,1223990
2009-06-29,5260.0,5490.0,5260.0,5350.0,758570
2009-06-30,5010.0,5260.0,5010.0,5260.0,918070
2009-07-01,4760.0,4760.0,4760.0,4760.0,550390
2009-07-02,4890.0,4890.0,4530.0,4640.0,2043730
2009-07-03,5120.0,5120.0,4730.0,4730.0,1450080
2009-07-06,5370.0,5370.0,5330.0,5370.0,1357560
