Date,Close,High,Low,Open,Volume
2009-03-27,7240.0,7480.0,7240.0,7480.0,35650
2009-03-30,7240.0,7270.0,7070.0,7100.0,76430
2009-03-31,7600.0,7600.0,7500.0,7570.0,39440
2009-04-01,7980.0,7980.0,7980.0,7980.0,18920
2009-04-02,8380.0,8380.0,7980.0,8380.0,106170
2009-04-03,8790.0,8790.0,8790.0,8790.0,36470
2009-04-07,9220.0,9220.0,8790.0,9050.0,97350
2009-04-08,9140.0,9650.0,8880.0,9140.0,138120
2009-04-09,8880.0,9140.0,8880.0,9140.0,83810
2009-04-10,9310.0,9310.0,9140.0,9220.0,86380
2009-04-13,9740.0,9740.0,9650.0,9740.0,34340
2009-04-14,10000.0,10170.0,9400.0,10000.0,90270
2009-04-15,9650.0,10170.0,9650.0,9830.0,79030
2009-04-16,10080.0,10080.0,9740.0,10080.0,88390
2009-04-17,10520.0,10520.0,9740.0,10520.0,171170
2009-04-20,10000.0,10000.0,10000.0,10000.0,30840
2009-04-21,10170.0,10340.0,9570.0,9570.0,144840
2009-04-22,10600.0,10600.0,10340.0,10600.0,128590
2009-04-23,10080.0,10950.0,10080.0,10600.0,89020
2009-04-24,10000.0,10080.0,9650.0,10080.0,57240
2009-04-27,10080.0,10170.0,9830.0,9830.0,30880
2009-04-28,10520.0,10520.0,10520.0,10520.0,22280
2009-04-29,11030.0,11030.0,11030.0,11030.0,38670
2009-05-04,11550.0,11550.0,11550.0,11550.0,12870
2009-05-05,12070.0,12070.0,12070.0,12070.0,30600
2009-05-06,12240.0,12670.0,11890.0,12500.0,264060
2009-05-07,12840.0,12840.0,12760.0,12840.0,132640
2009-05-08,13450.0,13450.0,13270.0,13270.0,143780
2009-05-11,13700.0,13960.0,13270.0,13620.0,132700
2009-05-12,13700.0,13960.0,13190.0,13620.0,150640
2009-05-13,13100.0,13790.0,13100.0,13450.0,122050
2009-05-14,13700.0,13700.0,12500.0,12930.0,172840
2009-05-15,14310.0,14310.0,14140.0,14310.0,98850
2009-05-18,14480.0,14830.0,13960.0,14050.0,77510
2009-05-19,14830.0,14910.0,14480.0,14910.0,61610
2009-05-20,14830.0,15080.0,14390.0,14480.0,99410
