Date,Close,High,Low,Open,Volume
2009-04-17,8990.0,9570.0,8750.0,9570.0,12194900
2009-04-20,8560.0,8560.0,8560.0,8560.0,1191080
2009-04-21,8160.0,8160.0,8160.0,8160.0,2411650
2009-04-22,8440.0,8560.0,8010.0,8360.0,8980670
2009-04-23,8090.0,8520.0,8090.0,8280.0,4751820
2009-04-24,7740.0,7970.0,7700.0,7890.0,5814800
2009-04-27,7700.0,8010.0,7660.0,7810.0,2813780
2009-04-28,7890.0,7970.0,7700.0,7970.0,2979710
2009-04-29,8200.0,8200.0,7810.0,7890.0,4328260
2009-05-04,8590.0,8590.0,8590.0,8590.0,544920
2009-05-05,9020.0,9020.0,9020.0,9020.0,916300
2009-05-06,8910.0,9380.0,8710.0,9380.0,14491540
2009-05-07,9340.0,9340.0,9060.0,9340.0,7911400
2009-05-08,9450.0,9650.0,9340.0,9420.0,8563120
2009-05-11,9450.0,9730.0,9300.0,9340.0,6854610
2009-05-12,9770.0,9770.0,9300.0,9450.0,7877390
2009-05-13,9490.0,9880.0,9490.0,9650.0,7853390
2009-05-14,9380.0,9420.0,9100.0,9300.0,5591140
2009-05-15,9840.0,9840.0,9420.0,9690.0,11030010
2009-05-18,10000.0,10160.0,9810.0,9840.0,7604150
2009-05-19,10470.0,10470.0,10240.0,10470.0,9596540
2009-05-20,10740.0,10940.0,10270.0,10350.0,9609870
2009-05-21,10590.0,10900.0,10510.0,10740.0,9545420
2009-05-22,10200.0,10470.0,10080.0,10310.0,10166600
2009-05-25,10700.0,10700.0,10470.0,10550.0,5999100
2009-05-26,10820.0,11090.0,10700.0,10940.0,6595590
2009-05-27,10550.0,10940.0,10430.0,10740.0,6269830
2009-05-28,10200.0,10510.0,10160.0,10350.0,5493450
2009-05-29,10350.0,10390.0,10040.0,10270.0,4873340
2009-06-01,10860.0,10860.0,10510.0,10630.0,5585520
2009-06-02,11370.0,11370.0,11290.0,11370.0,11695930
2009-06-03,11290.0,11450.0,11210.0,11330.0,6512490
2009-06-04,11800.0,11840.0,11680.0,11720.0,9748630
2009-06-05,12380.0,12380.0,12380.0,12380.0,3259550
2009-06-08,12970.0,12970.0,12970.0,12970.0,995870
2009-06-09,13600.0,13600.0,13600.0,13600.0,4339730
2009-06-10,14260.0,14260.0,13990.0,14260.0,22994630
2009-06-11,14960.0,14730.0,14450.0,14650.0,7371280
2009-06-12,15700.0,15700.0,15240.0,15700.0,10098960
2009-06-15,15240.0,16100.0,14920.0,15310.0,14189730
2009-06-16,14490.0,14850.0,14490.0,14490.0,8858570
2009-06-17,14850.0,14850.0,13790.0,13790.0,17333360
2009-06-18,14850.0,15200.0,14650.0,15200.0,7644460
2009-06-19,14380.0,14880.0,14260.0,14850.0,6492790
2009-06-22,13670.0,14060.0,13670.0,13750.0,7845160
2009-06-23,13010.0,13010.0,13010.0,13010.0,1411230
2009-06-24,13630.0,13630.0,13280.0,13630.0,9533710
2009-06-25,13400.0,14220.0,13360.0,14220.0,8405980
2009-06-26,13870.0,13870.0,13280.0,13280.0,6571010
2009-06-29,14020.0,14260.0,13870.0,13870.0,4691420
2009-06-30,13630.0,14260.0,13480.0,14140.0,7978740
2009-07-01,12970.0,13600.0,12970.0,13170.0,6676510
2009-07-02,13280.0,13400.0,12500.0,12890.0,6985650
2009-07-03,13240.0,13360.0,12930.0,13280.0,4704320
2009-07-06,13870.0,13870.0,13320.0,13360.0,5161800
2009-07-07,13670.0,14180.0,13670.0,13830.0,4271450
2009-07-08,13790.0,13990.0,13600.0,13990.0,6408430
2009-07-09,13560.0,13870.0,13560.0,13750.0,3535570
2009-07-10,13280.0,13600.0,13090.0,13520.0,5395950
2009-07-13,12660.0,13240.0,12660.0,13240.0,6066650
2009-07-14,12310.0,12740.0,12150.0,12580.0,5952350
2009-07-15,12850.0,12890.0,12500.0,12500.0,4110600
2009-07-16,13240.0,13440.0,13170.0,13440.0,4537470
2009-07-17,12930.0,13170.0,12930.0,13090.0,3414390
2009-07-20,12380.0,12500.0,12310.0,12460.0,6202790
2009-07-21,12660.0,12770.0,12460.0,12500.0,3998680
2009-07-22,12500.0,12810.0,12500.0,12810.0,3330460
2009-07-23,13130.0,13130.0,12350.0,12380.0,3974580
2009-07-24,13750.0,13750.0,13750.0,13750.0,2934710
2009-07-27,14420.0,14420.0,13990.0,14260.0,11539490
2009-07-28,14060.0,14690.0,13990.0,14380.0,8562350
2009-07-29,13870.0,14380.0,13870.0,14260.0,6228640
2009-07-30,13600.0,13870.0,13320.0,13670.0,5475760
2009-07-31,14220.0,14220.0,13670.0,13670.0,6836280
2009-08-03,14180.0,14450.0,13990.0,14060.0,5204980
2009-08-04,14610.0,14770.0,14380.0,14770.0,10313950
2009-08-05,14610.0,14650.0,14420.0,14450.0,5071900
2009-08-06,14380.0,14730.0,14380.0,14610.0,6647680
2009-08-07,14340.0,14450.0,14300.0,14450.0,4525140
2009-08-10,14490.0,14690.0,14380.0,14530.0,6140320
2009-08-11,14420.0,14570.0,14420.0,14490.0,3675610
2009-08-12,14530.0,14610.0,14450.0,14570.0,5361890
2009-08-13,14850.0,15040.0,14690.0,14850.0,8716920
2009-08-14,15040.0,15120.0,14850.0,14850.0,6886430
2009-08-17,14880.0,15160.0,14880.0,15040.0,5986700
2009-08-18,14810.0,14960.0,14770.0,14850.0,5584280
2009-08-19,14920.0,14960.0,14810.0,14920.0,3535430
2009-08-20,14850.0,15000.0,14850.0,14960.0,4951300
2009-08-21,15000.0,15590.0,14960.0,15040.0,7283680
2009-08-24,15080.0,15160.0,15040.0,15040.0,3897210
2009-08-25,14880.0,15080.0,14850.0,15040.0,4833510
2009-08-26,14850.0,15000.0,14810.0,14920.0,4693390
2009-08-27,14810.0,14920.0,14770.0,14850.0,3613800
2009-08-28,14880.0,14880.0,14770.0,14850.0,4010160
2009-08-31,15280.0,15280.0,15000.0,15280.0,7268970
2009-09-01,15310.0,15390.0,15040.0,15310.0,7435400
2009-09-03,15160.0,15310.0,15120.0,15160.0,4667290
2009-09-04,14850.0,15310.0,14850.0,14850.0,6419750
2009-09-07,15000.0,15160.0,14810.0,15000.0,7356150
2009-09-08,15120.0,15240.0,15000.0,15120.0,4661920
2009-09-09,14920.0,15120.0,14920.0,14920.0,4334640
2009-09-10,14730.0,14920.0,14690.0,14730.0,4170280
2009-09-11,14690.0,14920.0,14650.0,14850.0,5409950
2009-09-14,14770.0,14850.0,14650.0,14730.0,6348820
2009-09-15,14730.0,15200.0,14730.0,14850.0,6969570
2009-09-16,15440.0,15440.0,15440.0,15440.0,1761560
2009-09-17,15970.0,16170.0,15630.0,16170.0,15850050
2009-09-18,15680.0,15920.0,15630.0,15870.0,6808910
2009-09-21,15140.0,15630.0,15140.0,15530.0,7198140
2009-09-22,15040.0,15290.0,14950.0,15000.0,5913810
2009-09-23,15340.0,15780.0,15340.0,15630.0,7452220
2009-09-24,15340.0,15480.0,15140.0,15340.0,4396080
2009-09-25,16070.0,16070.0,15480.0,15530.0,15573970
2009-09-28,16850.0,16850.0,16610.0,16850.0,10081000
2009-09-29,16360.0,17190.0,16360.0,17100.0,8965230
2009-09-30,16120.0,16460.0,15970.0,16410.0,5449000
2009-10-01,15780.0,16120.0,15730.0,16120.0,6379760
2009-10-02,15340.0,15580.0,15040.0,15440.0,6788610
