Date,Close,High,Low,Open,Volume
2009-04-17,9850.0,10180.0,9850.0,10180.0,193080
2009-04-20,9370.0,9370.0,9370.0,9370.0,44350
2009-04-21,8920.0,8920.0,8920.0,8920.0,84980
2009-04-22,9000.0,9190.0,8730.0,8920.0,369550
2009-04-23,8880.0,9150.0,8830.0,8830.0,135660
2009-04-24,8770.0,8940.0,8440.0,8750.0,199140
2009-04-27,8940.0,9150.0,8790.0,9100.0,35000
2009-04-28,9150.0,9150.0,8940.0,8940.0,65680
2009-04-29,9270.0,9270.0,9080.0,9150.0,90880
2009-05-04,9730.0,9730.0,9730.0,9730.0,9310
2009-05-05,10210.0,10210.0,10210.0,10210.0,33800
2009-05-06,10390.0,10700.0,10230.0,10500.0,397640
2009-05-07,10910.0,10910.0,10810.0,10910.0,267540
2009-05-08,11330.0,11430.0,11120.0,11220.0,207400
2009-05-11,11330.0,11640.0,11330.0,11640.0,122700
2009-05-12,11850.0,11850.0,11020.0,11120.0,168630
2009-05-13,11430.0,12060.0,11330.0,11430.0,321730
2009-05-14,11220.0,11330.0,10910.0,10910.0,207400
2009-05-15,11740.0,11740.0,11640.0,11740.0,161320
2009-05-18,12060.0,12260.0,11740.0,11850.0,174490
2009-05-19,12570.0,12570.0,12570.0,12570.0,124560
2009-05-20,12990.0,13090.0,12060.0,12780.0,196020
2009-05-21,13300.0,13610.0,12680.0,12680.0,298610
2009-05-22,12890.0,13090.0,12680.0,12890.0,180060
2009-05-25,13510.0,13510.0,12890.0,12890.0,215600
2009-05-26,13510.0,14130.0,13300.0,13930.0,294970
2009-05-27,13300.0,13720.0,13300.0,13510.0,167640
2009-05-28,12680.0,13090.0,12680.0,12780.0,170740
2009-05-29,12890.0,13090.0,12680.0,13090.0,69740
2009-06-01,13510.0,13510.0,13300.0,13300.0,150010
2009-06-02,14130.0,14130.0,14130.0,14130.0,83590
2009-06-03,14340.0,14650.0,14130.0,14240.0,298540
2009-06-04,14960.0,14960.0,14450.0,14550.0,237530
2009-06-05,15690.0,15690.0,15690.0,15690.0,106430
2009-06-08,16420.0,16420.0,16420.0,16420.0,59120
2009-06-09,16630.0,16840.0,15690.0,16840.0,222120
2009-06-10,15800.0,16210.0,16210.0,16210.0,118810
2009-06-11,16520.0,16420.0,15800.0,16420.0,222540
2009-06-12,16520.0,17250.0,16420.0,17250.0,151570
2009-06-15,15800.0,16520.0,15800.0,15800.0,112200
2009-06-16,15070.0,15070.0,15070.0,15070.0,102670
2009-06-17,15800.0,15800.0,14340.0,14340.0,185190
2009-06-18,15590.0,16420.0,15170.0,16420.0,98440
2009-06-19,15380.0,16110.0,15380.0,16110.0,77510
2009-06-22,14650.0,14860.0,14650.0,14650.0,310290
2009-06-23,13930.0,14340.0,13930.0,13930.0,205580
2009-06-24,14550.0,14550.0,14550.0,14550.0,58160
2009-06-25,14760.0,15280.0,14550.0,15280.0,119390
2009-06-26,14550.0,14960.0,14550.0,14550.0,40560
2009-06-29,14860.0,14860.0,14340.0,14340.0,36690
2009-06-30,14550.0,14960.0,14240.0,14960.0,34240
2009-07-01,13820.0,14550.0,13820.0,14030.0,56860
2009-07-02,14130.0,14450.0,13610.0,13930.0,38280
2009-07-03,14240.0,14240.0,13610.0,13610.0,15980
2009-07-06,14860.0,14860.0,14450.0,14550.0,99490
2009-07-07,14760.0,14960.0,14650.0,14860.0,44290
2009-07-08,15170.0,15480.0,14340.0,14340.0,186390
2009-07-09,14550.0,15170.0,14550.0,14960.0,56320
2009-07-10,14340.0,14760.0,14130.0,14760.0,19960
2009-07-13,14240.0,14450.0,14030.0,14130.0,39530
2009-07-14,14030.0,14760.0,13820.0,14130.0,51460
2009-07-15,14650.0,14650.0,14450.0,14650.0,70000
2009-07-16,14650.0,15070.0,14650.0,15070.0,22090
2009-07-17,14340.0,15070.0,14240.0,14340.0,8140
2009-07-20,13820.0,13930.0,13720.0,13930.0,141410
2009-07-21,13930.0,14030.0,13820.0,13930.0,33220
2009-07-22,14030.0,14240.0,13930.0,14240.0,29370
2009-07-23,14340.0,14340.0,13930.0,14130.0,21600
2009-07-24,14960.0,14960.0,14960.0,14960.0,113720
2009-07-27,15690.0,15690.0,14240.0,15590.0,375620
2009-07-28,15170.0,15690.0,15170.0,15380.0,42100
2009-07-29,14960.0,15280.0,14960.0,15280.0,30950
2009-07-30,14760.0,14860.0,14650.0,14760.0,34070
