Date,Close,High,Low,Open,Volume
2009-04-17,3490.0,3830.0,3470.0,3830.0,1764750
2009-04-20,3340.0,3340.0,3340.0,3340.0,129190
2009-04-21,3180.0,3180.0,3180.0,3180.0,117360
2009-04-22,3240.0,3340.0,3030.0,3340.0,1063190
2009-04-23,3130.0,3290.0,3130.0,3240.0,451540
2009-04-24,2980.0,3130.0,2980.0,3060.0,562340
2009-04-27,3000.0,3110.0,2950.0,3110.0,312520
2009-04-28,3060.0,3060.0,2930.0,2930.0,260100
2009-04-29,3180.0,3180.0,3030.0,3060.0,468280
2009-05-04,3340.0,3340.0,3340.0,3340.0,66610
2009-05-05,3490.0,3490.0,3490.0,3490.0,259700
2009-05-06,3340.0,3570.0,3340.0,3490.0,1132240
2009-05-07,3490.0,3490.0,3420.0,3490.0,723340
2009-05-08,3520.0,3600.0,3420.0,3470.0,870930
2009-05-11,3520.0,3570.0,3440.0,3440.0,608600
2009-05-12,3670.0,3670.0,3440.0,3490.0,1049290
2009-05-13,3570.0,3750.0,3570.0,3650.0,740710
2009-05-14,3540.0,3540.0,3440.0,3470.0,416790
2009-05-15,3670.0,3670.0,3540.0,3600.0,589530
2009-05-18,3540.0,3670.0,3490.0,3670.0,783770
2009-05-19,3700.0,3700.0,3620.0,3700.0,1171900
2009-05-20,3880.0,3880.0,3700.0,3720.0,1414150
2009-05-21,4060.0,4060.0,3980.0,4060.0,1109110
2009-05-22,4060.0,4240.0,3880.0,4240.0,1693250
2009-05-25,4240.0,4240.0,4240.0,4240.0,401980
2009-05-26,4440.0,4440.0,4260.0,4440.0,1166600
2009-05-27,4650.0,4650.0,4470.0,4620.0,2104820
2009-05-28,4420.0,4650.0,4420.0,4650.0,1063200
2009-05-29,4240.0,4420.0,4210.0,4420.0,921670
2009-06-01,4440.0,4440.0,4310.0,4340.0,768800
2009-06-02,4550.0,4650.0,4490.0,4650.0,912440
2009-06-03,4420.0,4550.0,4390.0,4420.0,662920
2009-06-04,4620.0,4620.0,4440.0,4470.0,1288080
2009-06-05,4850.0,4850.0,4830.0,4850.0,812330
2009-06-08,5090.0,5090.0,5090.0,5090.0,288530
2009-06-09,4930.0,5090.0,4880.0,5090.0,1246580
2009-06-10,4700.0,4700.0,4700.0,4700.0,405390
2009-06-11,4930.0,4750.0,4700.0,4700.0,1223970
2009-06-12,4700.0,4980.0,4700.0,4960.0,1083400
2009-06-15,4470.0,4620.0,4470.0,4470.0,904710
2009-06-16,4260.0,4260.0,4260.0,4260.0,291170
2009-06-17,4260.0,4260.0,4060.0,4060.0,816360
2009-06-18,4470.0,4470.0,4340.0,4470.0,419560
2009-06-19,4570.0,4650.0,4310.0,4650.0,413140
2009-06-22,4370.0,4370.0,4370.0,4370.0,114180
