Date,Close,High,Low,Open,Volume
2009-04-17,3590.0,3630.0,3420.0,3630.0,790220
2009-04-20,3420.0,3460.0,3420.0,3420.0,229680
2009-04-21,3290.0,3290.0,3290.0,3290.0,87360
2009-04-22,3420.0,3420.0,3240.0,3370.0,326630
2009-04-23,3550.0,3550.0,3550.0,3550.0,301740
2009-04-24,3500.0,3720.0,3420.0,3420.0,1330970
2009-04-27,3330.0,3460.0,3330.0,3330.0,460370
2009-04-28,3240.0,3290.0,3200.0,3200.0,251740
2009-04-29,3370.0,3370.0,3160.0,3240.0,304560
2009-05-04,3500.0,3500.0,3500.0,3500.0,103210
2009-05-05,3500.0,3680.0,3500.0,3680.0,616480
2009-05-06,3330.0,3500.0,3330.0,3420.0,559570
2009-05-07,3370.0,3420.0,3330.0,3420.0,329230
2009-05-08,3330.0,3370.0,3290.0,3290.0,290330
2009-05-11,3420.0,3420.0,3290.0,3290.0,454860
2009-05-12,3550.0,3550.0,3460.0,3500.0,1028150
2009-05-13,3720.0,3720.0,3720.0,3720.0,598630
2009-05-14,3890.0,3890.0,3720.0,3890.0,1304810
2009-05-15,4070.0,4070.0,3980.0,4070.0,853140
2009-05-18,4240.0,4240.0,3890.0,4110.0,1257270
2009-05-19,4410.0,4410.0,4410.0,4410.0,273890
2009-05-20,4630.0,4630.0,4630.0,4630.0,644260
2009-05-21,4840.0,4840.0,4840.0,4840.0,177120
2009-05-22,4630.0,5060.0,4630.0,5060.0,2237910
2009-05-25,4840.0,4840.0,4800.0,4800.0,515960
2009-05-26,5060.0,5060.0,5060.0,5060.0,198510
2009-05-27,5280.0,5280.0,5280.0,5280.0,150710
2009-05-28,5540.0,5540.0,5540.0,5540.0,129430
2009-05-29,5800.0,5800.0,5280.0,5800.0,2715610
2009-06-01,6050.0,6050.0,5840.0,6050.0,1140570
2009-06-02,6360.0,6360.0,6360.0,6360.0,201450
2009-06-03,6660.0,6660.0,6400.0,6660.0,1156980
2009-06-04,6960.0,6960.0,6960.0,6960.0,296150
2009-06-05,7310.0,7310.0,7310.0,7310.0,68380
2009-06-08,7660.0,7660.0,7660.0,7660.0,90770
2009-06-09,8000.0,8000.0,7780.0,8000.0,1203130
2009-06-10,7610.0,7610.0,7610.0,7610.0,918890
2009-06-11,7960.0,7610.0,7270.0,7270.0,1852590
2009-06-12,7660.0,8300.0,7570.0,8300.0,1218500
2009-06-15,7310.0,7310.0,7310.0,7310.0,289580
2009-06-16,6960.0,6960.0,6960.0,6960.0,63000
2009-06-17,6620.0,6620.0,6620.0,6620.0,239030
2009-06-18,6400.0,6920.0,6400.0,6620.0,1245530
2009-06-19,6570.0,6700.0,6400.0,6700.0,571570
2009-06-22,6270.0,6270.0,6270.0,6270.0,195960
2009-06-23,5970.0,5970.0,5970.0,5970.0,47010
2009-06-24,6230.0,6230.0,5800.0,5800.0,699110
2009-06-25,6010.0,6400.0,5930.0,6400.0,492120
2009-06-26,5880.0,6100.0,5880.0,6010.0,341340
2009-06-29,5800.0,5970.0,5800.0,5840.0,217990
2009-06-30,5540.0,5840.0,5540.0,5800.0,327920
2009-07-01,5280.0,5280.0,5280.0,5280.0,73940
2009-07-02,5190.0,5410.0,5020.0,5190.0,495530
2009-07-03,5190.0,5190.0,4930.0,4930.0,400640
2009-07-06,5450.0,5450.0,5450.0,5450.0,27100
2009-07-07,5710.0,5710.0,5710.0,5710.0,74530
2009-07-08,5970.0,5970.0,5840.0,5970.0,877260
2009-07-09,6230.0,6230.0,6230.0,6230.0,162730
2009-07-10,6310.0,6530.0,6230.0,6530.0,1183990
2009-07-13,6010.0,6440.0,6010.0,6140.0,652570
2009-07-14,5970.0,6140.0,5750.0,5970.0,616490
2009-07-15,6050.0,6140.0,5970.0,6050.0,345070
2009-07-16,6100.0,6230.0,6010.0,6230.0,435980
2009-07-17,6050.0,6050.0,5930.0,5930.0,193440
2009-07-20,5750.0,6010.0,5750.0,5750.0,327850
2009-07-21,5750.0,5930.0,5710.0,5750.0,236380
2009-07-22,5930.0,5930.0,5750.0,5840.0,275490
2009-07-23,6180.0,6180.0,5840.0,5840.0,306270
2009-07-24,6490.0,6490.0,6490.0,6490.0,304050
2009-07-27,6660.0,6790.0,6270.0,6790.0,880600
2009-07-28,6360.0,6660.0,6360.0,6490.0,605260
2009-07-29,6050.0,6490.0,6050.0,6360.0,532770
2009-07-30,6100.0,6100.0,5880.0,5970.0,351280
2009-07-31,6310.0,6360.0,6140.0,6140.0,307240
2009-08-03,6270.0,6440.0,6100.0,6180.0,173450
2009-08-04,6180.0,6310.0,6180.0,6270.0,309310
2009-08-05,6270.0,6270.0,6100.0,6180.0,527640
2009-08-06,6570.0,6570.0,6490.0,6570.0,1445940
2009-08-07,6880.0,6880.0,6620.0,6830.0,2024810
2009-08-10,7180.0,7180.0,6960.0,7180.0,615200
2009-08-11,7350.0,7530.0,7220.0,7480.0,1473560
2009-08-12,7010.0,7440.0,7010.0,7350.0,1465080
2009-08-13,6880.0,7010.0,6830.0,6920.0,1086320
2009-08-14,6830.0,6920.0,6750.0,6880.0,589800
2009-08-17,7140.0,7140.0,6880.0,6920.0,732560
2009-08-18,7270.0,7440.0,7180.0,7180.0,1180790
2009-08-19,7350.0,7350.0,7010.0,7270.0,941580
2009-08-20,7700.0,7700.0,7610.0,7700.0,1683250
2009-08-21,8040.0,8040.0,7870.0,8040.0,1931150
2009-08-24,7780.0,8040.0,7780.0,7830.0,998550
2009-08-25,7480.0,7700.0,7400.0,7530.0,867670
2009-08-26,7830.0,7830.0,7570.0,7570.0,821680
2009-08-27,7780.0,8000.0,7660.0,8000.0,507690
2009-08-28,7910.0,7910.0,7740.0,7780.0,619480
2009-08-31,8220.0,8300.0,8040.0,8220.0,1201720
2009-09-01,8000.0,8220.0,7870.0,8000.0,936960
2009-09-03,7780.0,8040.0,7700.0,7780.0,627990
2009-09-04,7480.0,7780.0,7400.0,7480.0,1121990
2009-09-07,7440.0,7530.0,7270.0,7440.0,342840
2009-09-08,7780.0,7780.0,7440.0,7780.0,627070
2009-09-09,7870.0,8040.0,7830.0,7870.0,845950
2009-09-10,7740.0,7870.0,7700.0,7740.0,482770
2009-09-11,7660.0,7830.0,7610.0,7830.0,493260
2009-09-14,7610.0,7780.0,7570.0,7660.0,376170
2009-09-15,7570.0,7660.0,7440.0,7660.0,550280
2009-09-16,7480.0,7660.0,7480.0,7570.0,544850
2009-09-17,7440.0,7570.0,7350.0,7480.0,333980
2009-09-18,7660.0,7660.0,7400.0,7530.0,496260
2009-09-21,7570.0,7700.0,7530.0,7660.0,214830
2009-09-22,7570.0,7660.0,7440.0,7480.0,466390
2009-09-23,7530.0,7780.0,7530.0,7780.0,575930
2009-09-24,7350.0,7570.0,7270.0,7440.0,572780
2009-09-25,7350.0,7480.0,7270.0,7350.0,495320
2009-09-28,7440.0,7480.0,7270.0,7440.0,547020
2009-09-29,7780.0,7780.0,7440.0,7610.0,889020
2009-09-30,7910.0,8170.0,7780.0,8170.0,1837450
2009-10-01,7530.0,7870.0,7530.0,7870.0,623850
