Date,Close,High,Low,Open,Volume
2009-04-17,3720.0,3850.0,3720.0,3850.0,178240
2009-04-20,3560.0,3600.0,3540.0,3540.0,138330
2009-04-21,3740.0,3740.0,3470.0,3470.0,171520
2009-04-22,3780.0,3920.0,3780.0,3870.0,147510
2009-04-23,3690.0,3830.0,3670.0,3690.0,25030
2009-04-24,3690.0,3690.0,3560.0,3560.0,72480
2009-04-27,3850.0,3850.0,3760.0,3800.0,150460
2009-04-28,3780.0,3800.0,3760.0,3760.0,46830
2009-04-29,3780.0,3800.0,3740.0,3740.0,30130
2009-05-04,3960.0,3960.0,3960.0,3960.0,163680
2009-05-05,4140.0,4140.0,4140.0,4140.0,221270
2009-05-06,4270.0,4290.0,4140.0,4180.0,329780
2009-05-07,4410.0,4410.0,4320.0,4360.0,89520
2009-05-08,4250.0,4380.0,4250.0,4270.0,52790
2009-05-11,4360.0,4430.0,4320.0,4410.0,163660
2009-05-12,4360.0,4380.0,4320.0,4360.0,119050
2009-05-13,4360.0,4380.0,4270.0,4380.0,175370
2009-05-14,4250.0,4320.0,4230.0,4230.0,145800
2009-05-15,4360.0,4360.0,4270.0,4340.0,114750
2009-05-18,4320.0,4340.0,4290.0,4340.0,132700
2009-05-19,4270.0,4380.0,4270.0,4380.0,110960
2009-05-20,4230.0,4320.0,4210.0,4230.0,140220
2009-05-21,4210.0,4230.0,4210.0,4230.0,143210
2009-05-22,4090.0,4210.0,4090.0,4160.0,111790
2009-05-25,4210.0,4230.0,4090.0,4140.0,151310
2009-05-26,4090.0,4210.0,4090.0,4140.0,166350
2009-05-27,4070.0,4140.0,4070.0,4090.0,162210
2009-05-28,4000.0,4050.0,3960.0,3980.0,287870
2009-05-29,3920.0,4160.0,3920.0,4160.0,129040
2009-06-01,4070.0,4090.0,4000.0,4000.0,257090
2009-06-02,4140.0,4270.0,4090.0,4270.0,199210
2009-06-03,4140.0,4160.0,4090.0,4160.0,221330
2009-06-04,4180.0,4210.0,4140.0,4140.0,248860
2009-06-05,4290.0,4340.0,4250.0,4340.0,184360
2009-06-08,4490.0,4490.0,4490.0,4490.0,142560
2009-06-09,4720.0,4720.0,4630.0,4720.0,302620
2009-06-10,4490.0,4720.0,4720.0,4720.0,240700
2009-06-11,4670.0,4540.0,4490.0,4490.0,114680
2009-06-12,4540.0,4720.0,4490.0,4720.0,137560
2009-06-15,4340.0,4360.0,4320.0,4320.0,263770
2009-06-16,4140.0,4160.0,4140.0,4140.0,304100
2009-06-17,4000.0,4090.0,3940.0,3940.0,263160
2009-06-18,4210.0,4210.0,4140.0,4210.0,76420
2009-06-19,4210.0,4270.0,4180.0,4270.0,69950
2009-06-22,4160.0,4210.0,4090.0,4210.0,44440
2009-06-23,3980.0,4050.0,3960.0,3980.0,244700
2009-06-24,4160.0,4160.0,4090.0,4140.0,74770
2009-06-25,4320.0,4320.0,4180.0,4320.0,177000
2009-06-26,4320.0,4340.0,4290.0,4320.0,177730
2009-06-29,4250.0,4360.0,4250.0,4360.0,34310
2009-06-30,4090.0,4270.0,4090.0,4250.0,74960
2009-07-01,4000.0,4090.0,4000.0,4030.0,179890
2009-07-02,4050.0,4140.0,4000.0,4000.0,203350
2009-07-03,4140.0,4140.0,4070.0,4090.0,77110
